island,mass_kg,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,r_hub_m,r_bottom_m,target_Lr,n_lines,density_profile,n_expansion,bank_angle_deg,blade_scale
46,1.0000040315619017e6,0.0106032070087824,0.01,0.15000000000220803,1.0,5.396543945697816,0.3104213689155093,3.0,3.372454364043765,0.8,19.540088868958147,6.46774687572731,2.0
47,1.000004031561905e6,0.010603207008669806,0.010000000113890331,0.15,0.9999999974666517,5.396543945697816,0.31042137324477137,3.0,3.0,0.8,7.651012876114571,20.733594938959317,0.4511650266654704
48,1.0000040346822813e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3,2.8575561726138847,3.3135312640129424,0.8,1.7405912106100612,13.122824848022208,0.005
49,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213690291088,3.0,3.3014146150980204,0.8,20.0,17.417847369831748,0.005
50,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213688930348,3.0,3.0275495168704065,0.8,16.4371394262297,35.0,0.5435781778519001
51,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31042136895167133,2.9999999998038356,3.171295791872666,0.799999999949964,7.114363346017955,35.0,0.6457873738128498
52,1.0000040315619017e6,0.01060320700877504,0.010000000011956587,0.15000000000532304,1.0,5.396543945697816,0.3104213688559745,3.0,3.3115553148310024,0.799999999994561,12.343609450899253,24.955201651138864,0.48694368531309584
53,1.0000040315619017e6,0.010603207008669806,0.01,0.15,0.9999999999711665,5.396543945703917,0.3104213689748522,3.0,3.0,0.8,0.0,8.747940078619953,0.005
54,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213689733683,3.0,3.143024172881061,0.8,7.833280408505258,35.0,0.7700377571363498
55,1.0000040318336134e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31089919467384464,3.0,3.2865318185676053,0.8,1.1717426060361893,35.0,1.4653369414132518
56,1.0000040315619046e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31042137405836856,3.0,3.210616039544292,0.8,11.046589697986446,35.0,0.8559348260072696
57,1.0000040315619021e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31042136983834356,3.0,3.0,0.8,16.828436517757773,35.0,2.0
58,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31042136897882794,2.999999999856735,3.002705971617957,0.8,16.297628799318705,35.0,1.106037209455324
59,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213688796342,3.0,3.2345566921858704,0.7999999999461503,6.198583757718563,31.982029536934885,0.1446514722813491
