device,t_sim,hub_x,hub_y,hub_z,hub_r_xy,elev_deg,omega_hub,omega_gnd
Stack×3,1.42,25.97263894829244,2.3670186324828752e-11,15.003230824749975,0.00758619075155309,30.013103159369525,-6.399304635257649e-7,-9.05410159228852e-7
Stack×3,1.44,25.972545779355844,2.744306055254557e-11,15.003290427586835,0.007679359688147258,30.013290767873674,-6.917865335599191e-7,-9.757924150298246e-7
Stack×3,1.46,25.97245284837099,3.163959636714278e-11,15.00335122543194,0.00777229067299956,30.013480126275404,-7.467982212442583e-7,-1.0519468088204018e-6
Stack×3,1.48,25.972360125648795,3.629772486904154e-11,15.003413376199608,0.00786501339519674,30.013671524136896,-8.050803251670735e-7,-1.13411387824637e-6
Stack×3,1.5,25.972267636278605,4.14576434188079e-11,15.003476417174026,0.007957502765385982,30.01386417211652,-8.668523467832143e-7,-1.222369331901235e-6
Stack×3,1.52,25.972175417940424,4.716171103076614e-11,15.003539792215573,0.00804972110356772,30.014057114313108,-9.323749911357096e-7,-1.3166339288557388e-6
Stack×3,1.54,25.972083508201937,5.345349889303401e-11,15.003603080208027,0.008141630842054326,30.0142496182703,-1.001900103689369e-6,-1.4167534948365657e-6
Stack×3,1.56,25.971991812197725,6.038108433401744e-11,15.00366755145056,0.008233326846266209,30.014443875783982,-1.0753348635401686e-6,-1.5225936762476519e-6
Stack×3,1.58,25.97190030234926,6.799876266779276e-11,15.003733330995074,0.008324836694733051,30.01464012004335,-1.1528068674389823e-6,-1.6341016927770692e-6
Stack×3,1.6,25.971809037259572,7.6362882326204e-11,15.003799560010656,0.008416101784419538,30.01483687448419,-1.2346945085988235e-6,-1.7512484340309228e-6
Stack×3,1.62,25.97171796083251,8.55338447184308e-11,15.003867013753483,0.008507178211480948,30.01503547502421,-1.321005873376362e-6,-1.873925058924998e-6
Stack×3,1.6400000000000001,25.97162700249819,9.558115188623035e-11,15.00393639537714,0.008598136545799662,30.01523715214841,-1.4117563796325827e-6,-2.0019009006229213e-6
Stack×3,1.6600000000000001,25.97153628903625,1.0657676419224523e-10,15.004005871386203,0.008688850007740001,30.01543875199239,-1.5077068344273484e-6,-2.1348676907428072e-6
