genome_hash,physics_era,git_hash,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,n_lines,n_active,f_v10,f_v11,P_mean_kw,FoS_min,omega_eq_rpm,P_range_kw,drift_flag,chosen_k,k_prior,k_bracket_results,timestamp,anchor_source
c77e625fc0a0,post-234a722_corrected-physics_ON,fc280b7,0.0880650730662896,0.011148482142099006,0.480764690727181,0.6944382153075223,15.69015238721248,2.3079368733257795,2.5,6.0,0.0,5.0,15.0,10.0,1.6174467071320557,0.1141301121434722,1.0,6,2,1.0000070925195948e6,-0.03210140201351866,0.3066932681704874,0.15700410807031723,25.619819484014172,1.75063542016174,true,1000.0,1608.7096101340649,"{""k_chosen"":1000.0,""k_prior"":1608.7096101340649}",2026-07-22T20:41:09.667,LHS
caddb19b866b,post-234a722_corrected-physics_ON,fc280b7,0.10843622638598888,0.13605155834199822,1.313541917389137,0.3116947848328281,5.974028514039988,4.006145215014549,2.5,6.0,0.0,5.0,15.0,10.0,0.7301284418657172,1.0971786817360334,1.0,6,3,1.0018417729373347e6,-1.477634004852037,13.17808155217669,0.16819223636629818,55.443811689030596,84.88030168496654,false,327.8054947814311,327.8054947814311,"{""k_chosen"":327.8054947814311,""k_prior"":327.8054947814311}",2026-07-22T20:13:13.018,LHS
d60417c9484a,post-234a722_corrected-physics_ON,fc280b7,0.05154274340111123,0.11112594429677161,1.3484095553037536,0.31869924955103507,20.07456271694458,1.7879195363844986,2.5,12.0,0.0,5.0,15.0,10.0,1.146512497577299,1.5072612100916538,1.0,12,2,1.0000521217864866e6,1.0e9,0.0,Inf,0.0,0.0,true,0.0,808.3050316228397,"{""k_chosen"":0.0,""k_prior"":808.3050316228397}",2026-07-22T22:12:43.242,LHS
d83d2473a3e6,post-234a722_corrected-physics_ON,fc280b7,0.1343345335932234,0.0580385388069544,0.3391559674450863,0.8284288177762434,11.945426504572762,3.5438249916079827,2.5,6.0,0.0,5.0,15.0,10.0,0.5594742685328754,0.392227576996394,1.0,6,2,1.0000029857257612e6,-0.1508547632128102,0.9647294802298948,0.23455502237299966,42.31413184643787,26.427266144213007,false,192.47659637925068,192.47659637925068,"{""k_chosen"":192.47659637925068,""k_prior"":192.47659637925068}",2026-07-22T20:18:16.331,LHS
d956eee5ea92,post-234a722_corrected-physics_ON,fc280b7,0.075,0.01,1.0,0.5,1.5,0.8,2.5,12.0,0.0,8.0,15.0,5.0,0.5,0.3,1.0,12,3,1.0000013114724288e6,-1.5395041458238417,48.038153795890786,0.048071294091516434,59.996018031425976,264.19938440552556,true,76.86483672655527,153.72967345311054,"{""k_chosen"":76.86483672655527,""k_prior"":153.72967345311054}",2026-07-23T01:11:48.729,legacy
ee2d97aafc45,post-234a722_corrected-physics_ON,fc280b7,0.12367281672762849,0.04568483402260428,0.5164554684366524,0.46796021984147146,21.682000613483375,4.508183438633445,2.5,12.0,0.0,5.0,15.0,10.0,0.34322406820276674,1.3196703866185815,1.0,12,2,1.0001497853933387e6,-1.7026199483977411,15.671998175315839,0.1629613463469627,25.89128570398327,32.99671969383716,true,144.87823983543834,72.43911991771917,"{""k_chosen"":144.87823983543834,""k_prior"":72.43911991771917}",2026-07-22T21:40:17.186,LHS
f682fdc1e68e,post-234a722_corrected-physics_ON,fc280b7,0.08396427532310169,0.052082969231661766,1.4090267578356772,0.3457758202902794,16.468470432140588,0.8859842131560273,2.5,3.0,0.0,5.0,15.0,10.0,1.535322309472047,1.3483043974591429,1.0,3,2,1.0029240659453166e6,1.0e9,0.0,Inf,0.0,0.0,true,0.0,1449.4953191550958,"{""k_chosen"":0.0,""k_prior"":1449.4953191550958}",2026-07-22T19:34:03.097,LHS
f697422b778f,post-234a722_corrected-physics_ON,fc280b7,0.075,0.01,1.0,0.5,8.0,4.0,2.5,12.0,0.0,8.0,15.0,5.0,0.5,0.3,1.0,12,3,1.000003176272056e6,-0.25296807450912867,1.6435730173002392,0.23087024900602682,44.67551668850003,41.43095565449944,false,153.72967345311054,153.72967345311054,"{""k_chosen"":153.72967345311054,""k_prior"":153.72967345311054}",2026-07-23T01:24:35.495,legacy
f6e325007117,post-234a722_corrected-physics_ON,fc280b7,0.12017106300915832,0.09483967066573347,1.0091799899648577,0.0632338749133067,22.802198505261654,4.611730343865765,2.5,6.0,0.0,5.0,15.0,10.0,0.2576335215669949,0.663396866567425,1.0,6,2,1.000021366283516e6,1.0e9,0.0,Inf,0.0,0.0,true,0.0,40.8152476317769,"{""k_chosen"":0.0,""k_prior"":40.8152476317769}",2026-07-22T20:13:13.02,LHS
fbde5df6a744,post-234a722_corrected-physics_ON,fc280b7,0.07101531215814111,0.12587691044598115,1.1065138875012763,0.12163788889353018,2.033340110206783,1.4667252714805115,2.5,8.0,0.0,5.0,15.0,10.0,0.5476470072148562,1.667462786310323,1.0,8,3,1.0008336277322584e6,-4.019375487179996,83.29632288961412,0.07238090496215331,66.52036489607282,72.1681981037076,true,368.84944049353993,184.42472024676997,"{""k_chosen"":368.84944049353993,""k_prior"":184.42472024676997}",2026-07-22T20:57:16.2,LHS
fcd5a0b4d86a,post-234a722_corrected-physics_ON,fc280b7,0.09907985797783841,0.11627233054911683,0.9299959796726462,0.7604720877118998,23.05966495060491,1.255684618703963,2.5,4.0,0.0,5.0,15.0,10.0,1.416000918226883,1.6700811571953331,1.0,4,2,1.0000240519019169e6,1.0e9,0.0,Inf,0.0,0.0,true,0.0,1232.9480155872857,"{""k_chosen"":0.0,""k_prior"":1232.9480155872857}",2026-07-22T19:48:53.383,LHS
fdc0c9e0907b,post-234a722_corrected-physics_ON,fc280b7,0.06,0.01,1.0,0.5,2.99,2.0,2.99,3.0,-0.11,32.0,25.0,4.0,1.0,0.88,0.3010299956639812,3,4,1.0001858131894264e6,-1.2528955695509687,5.118628213062797,0.3671576203816381,56.14939932982858,86.21799281742209,true,307.45934690622107,614.9186938124421,"{""k_chosen"":307.45934690622107,""k_prior"":614.9186938124421}",2026-07-22T23:22:46.138,legacy
