protocol,ts,P_kW,FoS,omega
warm,37.99999999923808,0.0,0.5063217309835091,1.399070661518375
warm,38.99999999920022,0.053570358760851026,0.7571716505150518,0.8129685934684733
warm,39.99999999916236,0.0,0.474376876871007,0.9366278839703542
warm,40.999999999124505,0.9346763925844679,0.3290216467537756,2.108560215304162
warm,41.99999999908665,0.026309135289259135,0.7013346757490261,0.6414081019428659
warm,42.99999999904879,0.0,1.1569429165430303,0.8928882655844864
warm,43.99999999901093,0.0005334461016160071,0.5863619278289505,0.17490239853149836
warm,44.999999998973074,0.0018818525570262284,0.8677348659595527,0.2662527576081651
warm,45.999999998935216,0.020139879735968515,1.986735429147655,0.5867474456684193
warm,46.99999999889736,0.00028291832958888657,0.8546728221735623,0.14157479618940125
warm,47.9999999988595,0.00016288967982844,0.7631387275459567,0.1177778005769282
warm,48.99999999882164,0.0,0.9342552791342913,0.6506090324101336
warm,49.999999998783785,0.07876169023152632,0.8736630608188541,0.9244226810789316
warm,50.99999999874593,0.0025054019149807643,0.8259495593211409,0.29290360596236087
warm,51.99999999870807,0.004062292667452532,0.942603506194767,0.34410368194310376
warm,52.99999999867021,0.0,1.528024381612797,0.858951205259934
warm,53.999999998632354,0.11116518528599172,0.7578574050360628,1.0369437112228221
warm,54.9999999985945,0.0,1.018873857892093,0.1458803969009975
warm,55.99999999855664,0.0006007034823266499,1.434475684343727,0.18196406625051834
warm,56.99999999851878,0.0033113033688076973,0.787294609333084,0.32143900395766706
warm,57.999999998480924,0.01496041115654935,0.7752900587497654,0.5313900601044261
warm,58.999999998443066,0.0,0.7803214074354711,0.06560160510177163
warm,59.99999999840521,0.05830416210695164,0.5864263064773231,0.836242244070091
warm,60.99999999836735,0.04314756062094025,0.5696644458237167,0.7563990926397134
warm,61.99999999832949,5.520317958872567,0.3366799024686037,3.8114212206649127
warm,62.999999998291635,2.1492123382099133,0.3963689559028826,2.7830778725142813
warm,63.99999999825378,3.5326011093489664,0.44775597462053185,3.284458536713998
warm,64.99999999821593,0.0,0.3048487802594518,1.1721386968871572
warm,65.99999999817807,0.026736840108920537,0.1177023965931227,0.6448652029781448
warm,66.99999999814021,1.7988576482367993,0.4182715103581133,2.6227960182470293
warm,67.99999999810235,0.0,0.83604757967331,1.5209359825952877
warm,68.9999999980645,0.48766715340138383,0.5923034669375942,1.6974881516997677
warm,69.99999999802664,0.05738443653621191,0.7088809959949147,0.8318217857861222
warm,70.99999999798878,5.315756625171006,0.33527524015043925,3.7637486526444466
warm,71.99999999795092,0.0,1.4520387118945104,1.238059415183519
warm,72.99999999791306,0.0,0.8405528550870905,0.697334755033058
warm,73.99999999787521,0.1641048218819889,0.7584797152452796,1.1806994584343113
warm,74.99999999783735,0.0,0.8036898443809102,0.20984698891810205
warm,75.99999999779949,0.2750721770010398,0.3825548373627757,1.402537466458751
warm,76.99999999776163,0.12028983209065333,1.000170257191346,1.0645724499791356
warm,77.99999999772378,7.791554792724712,0.30776564669513073,4.275369221112273
warm,78.99999999768592,1.9463013806797023,0.3259324068319916,2.6925820540838052
warm,79.99999999764806,2.217440474724612,0.2581568317860608,2.812221819160334
warm,80.9999999976102,0.0,0.24630976282562245,0.9947962023904721
warm,81.99999999757235,0.0,0.11910800848085779,0.3081037979839872
warm,82.99999999753449,0.0,0.5248627236974657,1.0729010573545423
warm,83.99999999749663,1.8651791585471829,1.0219696003651737,2.6546408189285757
warm,84.99999999745877,0.0,1.4198836175691474,0.8826503797750631
warm,85.99999999742091,0.0,1.1061411647574824,0.115986861356664
warm,86.99999999738306,0.0,1.0345786360540468,0.12198879318206197
warm,87.9999999973452,0.016568827608812734,0.45971929623975794,0.5497891646712337
warm,88.99999999730734,0.0006763929862440806,1.0049382164192813,0.1893063935467493
warm,89.99999999726948,0.06346265247144749,0.6270031703034649,0.8602109962913567
warm,90.99999999723163,0.003716902013779327,0.6107273629955337,0.33406113634792944
warm,91.99999999719377,0.007155931211666292,0.667941402969178,0.41557967813786034
warm,92.99999999715591,0.13057860837353424,0.7544051491802062,1.0940980952496842
warm,93.99999999711805,0.6395765746712914,0.287408817631374,1.8580743991709225
warm,94.9999999970802,9.057696858121957,0.21374635558700694,4.495432805891785
warm,95.99999999704234,1.372097129878206,0.34618915267805417,2.3964067560594255
warm,96.99999999700448,1.2667383387210613,0.23398295421111834,2.3334288065480555
warm,97.99999999696662,0.0,0.5055817973611055,1.308519754867365
warm,98.99999999692876,0.08613463287914713,0.4258252724289187,0.9524119860678383
warm,99.9999999968909,0.021205301184162362,1.0762400503683534,0.5969167032821305
warm,100.99999999685305,0.0,1.2670984697898044,0.6335448480115509
warm,101.99999999681519,0.06554221949678773,0.7700006302138944,0.8695060964646956
warm,102.99999999677733,0.0,1.302280899306621,0.3566374860891573
warm,103.99999999673948,0.16503212607932524,0.5944104576749764,1.1829192017893582
warm,104.99999999670162,7.4282162460340775,0.2248304322838776,4.207851739770466
warm,105.99999999666376,5.802012956254195,0.3124584597868569,3.875179417441202
warm,106.9999999966259,2.1302145204801226,0.25544799698416776,2.774853314747603
warm,107.99999999658804,0.0,0.33218168494477374,1.4019727374826119
warm,108.99999999655019,0.0,0.2239448583420682,0.12473284967877489
warm,109.99999999651233,0.03411506128291961,0.16144100285876203,0.6994354420528106
warm,110.99999999647447,0.0,1.085794254716561,0.9716198660302595
warm,111.99999999643661,0.6861023939965726,1.459281856147073,1.9020790474206697
warm,112.99999999639876,0.003085637441324001,1.1620869279550128,0.3139645024803869
warm,113.9999999963609,0.0,0.5358586351133193,1.1185349409478236
warm,114.99999999632304,0.16465597337825258,1.5496435821412224,1.1820197875315814
warm,115.99999999628518,0.0061725491537966935,0.7840075164289838,0.3955977100812074
warm,116.99999999624733,1.0013473728127535,0.47923357300166186,2.157548187765806
warm,117.99999999620947,42.209777581247025,0.14227954153807876,7.508789644197339
warm,118.99999999617161,6.277621496177135,0.19591681262197413,3.978297824196191
warm,119.99999999613375,3.141761995400176,0.3637480369025132,3.1585663963279393
warm,120.9999999960959,5.674689263258374,0.2704845425724635,3.8466228912361453
warm,121.99999999605804,10.119512009510819,0.15313187867897285,4.6646468878812595
warm,122.99999999602018,5.938461663202444,0.2380803735524736,3.9053224894676326
warm,123.99999999598232,9.880153168042389,0.31850080699045785,4.627575102379281
warm,124.99999999594446,5.981148416872647,0.2515734349990516,3.9146575495881653
warm,125.9999999959066,7.947573180745006,0.23836761616556248,4.303717557065444
warm,126.99999999586875,6.350699144770414,0.3303348950399167,3.9936753990622766
warm,127.99999999583089,13.07543519493198,0.19907572036638452,5.0806307709333645
warm,128.9999999961483,9.930827967139807,0.24598763317865305,4.635473146665198
warm,129.9999999964657,7.141016174138483,0.32781233295770984,4.152907477518911
