# v12_5kw_v3 telemetry  length=21.0  min_clearance=1.5
island,gen,idx,fitness,status,P_kW,FoS,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,lam_top,lam_bot,clearance,tether
1,14,6,0.042,ok,13.45,6.28,16,0,0,2.09,0.34,22.0,1.9,0.312,0.814,6.7,21.0
1,14,7,4.293,ok,5.65,2.46,14,0,0,2.1,0.32,20.4,11.7,0.707,0.315,4.7,21.0
1,14,8,-0.581,ok,11.36,6.77,16,0,0,2.2,0.43,18.8,2.8,0.394,0.728,6.25,21.0
1,14,9,-1.065,ok,9.41,6.6,16,0,0,2.2,0.82,22.0,3.0,0.519,0.797,5.56,21.0
1,14,10,2.383,ok,4.87,2.56,13,0,0,2.19,0.93,12.8,7.3,0.764,0.537,4.5,21.0
1,15,1,-0.719,ok,14.08,3.02,16,0,0,1.78,0.32,18.5,3.8,0.443,0.45,5.98,21.0
1,15,2,2.951,ok,4.19,1.9,16,0,0,2.09,0.53,15.8,4.5,0.71,0.332,4.5,21.0
1,15,3,-2.838,ok,8.42,3.31,12,0,0,2.0,0.77,15.8,11.2,0.641,0.908,5.22,21.0
1,15,4,-3.61,ok,8.53,5.34,14,0,0,2.1,0.95,15.6,9.2,0.559,0.746,5.48,21.0
1,15,5,-1.66,ok,9.59,4.6,16,0,0,2.02,0.53,22.0,9.5,0.556,0.48,5.35,21.0
1,15,6,-2.381,ok,8.98,4.57,15,0,0,1.97,0.43,22.0,8.3,0.612,0.638,5.12,21.0
1,15,7,-2.291,ok,8.89,2.75,15,0,0,1.92,0.32,18.1,7.2,0.605,0.475,5.16,21.0
1,15,8,0.818,ok,6.47,3.08,13,0,0,2.0,0.52,13.4,15.6,0.694,0.753,4.86,21.0
1,15,9,-3.301,ok,8.58,3.61,14,0,0,2.12,0.82,20.2,1.2,0.576,1.0,5.39,21.0
1,15,10,-1.951,ok,9.37,3.9,16,0,0,1.93,0.7,19.7,0.2,0.587,0.967,5.18,21.0
1,16,1,-0.923,ok,7.16,3.74,13,0,0,2.18,0.95,13.8,10.7,0.591,0.98,5.39,21.0
1,16,2,-0.484,ok,9.72,1.93,16,0,0,1.8,0.32,18.7,2.1,0.581,0.603,5.22,21.0
1,16,3,5.078,ok,4.92,2.0,16,0,0,2.0,0.77,20.6,6.6,0.689,0.723,4.62,21.0
1,16,4,-2.244,ok,10.32,3.49,15,0,0,1.91,0.95,22.0,3.9,0.559,0.949,5.41,21.0
1,16,5,-2.32,ok,9.56,5.46,13,0,0,2.11,0.95,16.8,4.2,0.546,0.524,5.62,21.0
1,16,6,4.024,ok,6.82,2.09,15,0,0,1.97,0.95,16.4,8.3,0.638,0.638,4.98,21.0
1,16,7,-1.946,ok,9.59,3.91,16,0,0,1.93,0.95,20.8,7.2,0.576,1.0,5.25,21.0
1,16,8,-0.862,ok,13.26,4.57,16,0,0,1.82,0.32,22.0,1.4,0.475,0.416,5.8,21.0
1,16,9,-2.137,ok,8.35,4.6,15,0,0,2.12,0.61,18.2,4.8,0.597,0.719,5.2,21.0
1,16,10,-3.231,ok,8.72,4.97,14,0,0,2.2,0.95,19.9,0.0,0.545,1.0,5.55,21.0
1,17,1,-0.175,ok,8.73,2.69,13,0,0,1.91,0.44,17.1,10.2,0.665,0.767,5.01,21.0
1,17,2,-2.933,ok,9.11,5.19,14,0,0,2.2,0.95,22.0,3.1,0.538,1.0,5.59,21.0
1,17,3,-1.993,ok,10.0,4.96,15,0,0,2.18,0.95,19.6,3.4,0.486,0.995,5.8,21.0
1,17,4,-3.209,ok,8.39,4.13,13,0,0,2.1,0.95,18.0,2.9,0.614,1.0,5.27,21.0
1,17,5,0.794,ok,6.76,4.12,15,0,0,2.2,0.49,17.9,1.6,0.576,0.718,5.31,21.0
1,17,6,-2.875,ok,7.49,7.21,16,0,0,2.2,0.74,22.0,0.0,0.612,1.0,5.04,21.0
1,17,7,-1.889,ok,8.56,5.55,15,0,0,2.12,0.32,17.7,3.8,0.583,0.475,5.28,21.0
1,17,8,-2.386,ok,9.14,3.41,12,0,0,1.93,0.77,18.8,15.5,0.628,0.731,5.28,21.0
1,17,9,-1.628,ok,8.65,7.99,15,0,0,2.09,0.77,15.4,7.3,0.578,0.746,5.3,21.0
1,17,10,0.495,ok,11.06,5.27,11,0,0,1.91,0.95,15.1,18.5,0.545,0.769,5.78,21.0
1,18,1,-1.863,ok,8.6,7.45,15,0,0,2.2,0.95,22.0,0.0,0.57,1.0,5.35,21.0
1,18,2,-2.181,ok,9.78,5.99,14,0,0,2.2,0.95,22.0,0.0,0.517,1.0,5.7,21.0
1,18,3,-1.166,ok,8.03,7.22,13,0,0,2.2,0.72,21.1,4.1,0.641,0.908,5.13,21.0
1,18,4,-2.066,ok,8.89,3.98,11,0,0,1.93,0.53,17.1,18.5,0.655,0.481,5.25,21.0
1,18,5,0.207,ok,9.39,8.46,10,0,0,2.0,0.93,15.8,13.5,0.588,0.524,5.66,21.0
1,18,6,-1.196,ok,9.27,6.26,16,0,0,2.2,0.95,21.1,1.2,0.521,1.0,5.55,21.0
1,18,7,-2.816,ok,8.63,9.93,13,0,0,2.2,0.32,22.0,7.2,0.574,0.702,5.48,21.0
1,18,8,-1.168,ok,10.6,3.58,12,0,0,1.93,0.92,19.4,15.5,0.577,0.945,5.54,21.0
1,18,9,-0.913,ok,9.04,4.7,14,0,0,1.98,0.53,20.9,11.6,0.631,0.799,5.1,21.0
1,18,10,1.199,ok,6.64,3.64,14,0,0,2.0,0.95,15.8,6.8,0.664,1.0,4.92,21.0
1,19,1,-2.933,ok,8.98,5.3,13,0,0,2.12,0.32,18.7,14.3,0.57,0.506,5.5,21.0
1,19,2,-2.926,ok,9.18,4.87,14,0,0,2.2,0.95,22.0,5.7,0.533,0.82,5.62,21.0
1,19,3,1.741,ok,7.56,3.11,13,0,0,2.0,0.82,14.9,19.8,0.641,0.908,5.13,21.0
1,19,4,-2.429,ok,8.4,3.16,14,0,0,2.12,0.82,15.6,0.0,0.582,0.746,5.36,21.0
1,19,5,-3.45,ok,8.21,6.78,13,0,0,2.2,0.49,18.8,0.0,0.588,1.0,5.4,21.0
1,19,6,-1.892,ok,8.77,6.87,16,0,0,2.2,0.59,21.8,0.0,0.549,0.986,5.39,21.0
1,19,7,-3.161,ok,8.45,7.16,13,0,0,2.2,0.83,20.3,0.0,0.575,0.702,5.47,21.0
1,19,8,-2.922,ok,8.31,5.36,12,0,0,2.2,0.49,17.2,6.4,0.594,0.524,5.45,21.0
1,19,9,-3.176,ok,8.02,5.74,12,0,0,2.2,0.82,15.8,4.3,0.599,0.524,5.43,21.0
1,19,10,-3.18,ok,9.11,4.51,14,0,0,2.06,0.95,21.0,6.4,0.57,1.0,5.42,21.0
1,20,1,-1.984,ok,8.76,7.92,15,0,0,2.12,0.32,21.1,0.0,0.568,1.0,5.36,21.0
1,20,2,-0.425,ok,8.67,2.43,14,0,0,2.05,0.86,15.7,3.1,0.597,0.634,5.28,21.0
1,20,3,-3.258,ok,8.69,3.87,14,0,0,2.04,0.77,15.8,10.1,0.582,0.746,5.36,21.0
1,20,4,-0.327,ok,8.77,4.74,14,0,0,2.2,0.95,19.9,2.3,0.489,1.0,5.85,21.0
1,20,5,-3.556,ok,8.03,3.53,13,0,0,2.2,0.71,14.9,8.5,0.588,0.524,5.4,21.0
1,20,6,-3.504,ok,8.18,4.12,13,0,0,2.19,0.32,21.8,7.7,0.612,0.689,5.28,21.0
1,20,7,-2.78,ok,8.98,6.56,13,0,0,2.2,0.95,18.7,0.0,0.549,1.0,5.6,21.0
1,20,8,-3.281,ok,8.6,3.88,14,0,0,2.2,0.86,19.9,8.2,0.556,0.871,5.49,21.0
1,20,9,-3.203,ok,8.84,4.23,14,0,0,2.2,0.86,22.0,2.2,0.548,1.0,5.54,21.0
1,20,10,-2.503,ok,9.34,5.08,15,0,0,2.2,0.95,22.0,2.6,0.515,1.0,5.64,21.0
1,21,1,-2.458,ok,9.19,8.42,13,0,0,2.2,0.95,22.0,0.0,0.552,0.506,5.59,21.0
1,21,2,-1.643,ok,8.58,6.98,15,0,0,2.2,0.95,17.6,4.3,0.548,1.0,5.47,21.0
1,21,3,-2.566,ok,9.3,4.54,15,0,0,2.2,0.95,20.1,5.0,0.506,1.0,5.69,21.0
1,21,4,-2.868,ok,8.9,4.32,13,0,0,2.06,0.32,15.4,21.0,0.574,0.315,5.48,21.0
1,21,5,-2.482,ok,8.18,3.0,13,0,0,2.19,0.32,20.5,5.8,0.616,0.524,5.26,21.0
1,21,6,-2.331,ok,9.6,4.5,13,0,0,2.07,0.36,21.8,14.9,0.571,0.441,5.49,21.0
1,21,7,-3.449,ok,8.31,7.6,13,0,0,2.18,0.32,22.0,13.5,0.599,0.702,5.35,21.0
1,21,8,-1.628,ok,8.02,7.17,14,0,0,2.19,0.32,19.9,14.1,0.619,0.374,5.16,21.0
1,21,9,-2.843,ok,9.45,4.15,14,0,0,2.12,0.82,20.2,7.4,0.535,0.883,5.6,21.0
1,21,10,-3.399,ok,8.47,4.32,14,0,0,2.2,0.86,21.6,7.8,0.571,0.971,5.41,21.0
1,22,1,-2.491,ok,9.8,4.61,14,0,0,2.12,0.32,20.5,14.3,0.525,0.914,5.65,21.0
1,22,2,-3.196,ok,8.7,5.24,13,0,0,2.09,0.52,22.0,9.9,0.598,0.626,5.35,21.0
