island,mass_kg,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
39,24.400193003280627,0.016426291378526695,0.03026226463309891,0.9896492257398052,0.00016783932832449555,7.104995597262139,5.0,0.8781526770055874,3.225422279232284,-0.029734964274737263,11.86125964452034,34.99959854464018,0.02164988846880325
40,24.398028942485375,0.016334463086162106,0.030541925610927462,1.0007774498921949,2.4526613205603535e-6,7.104358341263539,4.999991570170825,0.8389075737520685,3.0,-0.029326810533400215,11.852870612798311,35.0,0.02165927853016156
41,24.397912553587204,0.016341181680466964,0.03057290520592741,0.9998226577376823,0.0,7.104793542537285,5.0,0.8744005275806159,3.2673621191160565,-0.029516353648806868,11.879199919854019,34.99932268674448,0.021653674753824622
42,27.857038038458022,0.02405275230264526,0.01,0.6061552496547362,0.006125064811266519,7.778994464108509,4.6297159485746375,0.8764699318485009,3.0,0.008809322475596043,12.0,32.813702911593396,0.020717879319586116
43,24.39776364767696,0.01634043918562586,0.03059795646137817,1.0000020299821306,0.0,7.10425965012345,4.999999913081743,0.8602712137793307,3.1840177372809624,-0.029299455230058228,11.951375520586653,34.99988455341562,0.021659618835442374
44,24.493733545243252,0.011292891571284068,0.06473203778103581,1.030196883585072,1.9999337043220765e-5,7.25181279468037,4.999934126602291,0.8489559703863419,3.0,-0.09643958827909586,12.0,35.0,0.02
45,24.39776271332365,0.01634050030081201,0.03059711133621979,0.9999924502954576,0.0,7.104269071096595,4.999999995657383,0.8843267868949898,3.0723853591704646,-0.029304398299441137,11.73016001501522,35.0,0.0216595025682301
46,24.413798013752547,0.017253185263714704,0.01,0.9022550578685404,0.0,7.101883033624546,4.999986474244326,0.8616462628492195,3.114141869586795,-0.02975563641471301,11.936402552807609,34.99824743845826,0.021664942232396574
47,24.39784271219434,0.01633981265549342,0.03056856658386692,1.000064922301447,3.231495021051432e-6,7.104428168183752,5.0,0.8695914833518528,3.0,-0.029364557489932767,11.786718374317068,35.0,0.021657821966348446
48,24.402695829250156,0.016611744872238734,0.027882441119418438,0.9682166663855675,0.0,7.104907279812819,4.999844648333623,0.8722226426627298,3.3889955421494427,-0.029518239111547957,11.982145140223968,35.0,0.02165383382855874
49,24.500175634977886,0.010603207008669806,0.07270365257908457,1.0663184670175179,0.0,7.251089199460297,4.999999957178136,0.8686995272776408,3.0724641296732025,-0.09659261532779341,11.76358215975021,34.99954138443609,0.02
50,24.397804137743563,0.016339963264589447,0.030580094181678855,1.0000614925072493,0.0,7.10430855597039,5.0,0.8668720445063733,3.177705677348079,-0.029319509613963297,11.866526700647903,35.0,0.021659142989374908
51,45.63709106475748,0.03392498172531125,0.01,1.446939866420587,0.9411514220510263,8.6091582519959,5.0,0.880331487442215,3.0,-0.6259498002618586,9.856382858717524,5.0,0.02
52,1.0002529722574106e6,0.019358824647058685,0.03171883079308276,0.9911545888321737,0.0,7.066505123557039,5.0,0.8894255067125246,3.124627712836385,-0.044723701330315835,11.932224579892296,34.27852534551681,0.05228136337587659
53,24.39780157189739,0.01634066769532145,0.030587690197518953,0.9999561735259846,0.0,7.104376612586108,4.999998863346149,0.8317865538847946,3.2514616543104364,-0.029352083671253575,11.844957422454812,34.998415448728025,0.021658012047751474
54,24.44544662553792,0.01837609354128238,0.015504658206589935,0.7809590807651197,0.0,7.130490962497648,4.999550118941396,0.8503739166343407,3.0777107885093953,-0.03968433126377252,11.983743800529822,33.69249301042838,0.021256908582041906
55,24.39776280843519,0.016340522860496545,0.030597207881595548,0.9999909549492628,0.0,7.104263090594254,5.0,0.8695224197662634,3.0,-0.02930148018418621,11.545779911160498,35.0,0.02165958285447794
