run_id,wind_speed,payout_duration,field_imu,damping_mode,active_winch,payout_base_m,mppt_stall,lifter_elev_deg,duration_s,d_tau_gen_rms,d_omega_rms,T_min,T_mean,T_std,slack_events,brake_time,brake_engaged,omega_hub_final,omega_gnd_final,time_to_omega1,max_payout_reached,peak_tau_gen,min_tension_before_brake,T_cyan_min,twist_max,fos_buckling_min,is_disqualified,disqualification_reason,smoothness_raw,tension_raw,composite_score
14,11.0,15.0,0,0,1,25.0,0,85.0,30.0,23435.195077396384,3.3493354403436046,0.0,1364.0164394246156,4549.27094456361,1500,11.326880000040335,1,-0.15263800304291844,0.0,11.34000000004042,4.29006086469124,23410.91860801562,112.78072274839776,0.0,0.9902293799580519,0.02465477394197678,1,slack_sky_anchor,23436.869745116557,-300000.0,-99999.0
15,11.0,15.0,0,0,1,25.0,1,70.0,30.0,10107.87670108196,1.9419700423043578,0.0,2123.1041701480226,2261.166600260859,1500,23.12559999980119,1,-0.10856893960758757,0.0,23.139999999800644,24.82648391936654,7653.446078192482,2074.537629476911,954.9047746551408,0.6302167588886292,0.13233675903110514,1,ring_buckling,10108.847686103112,-300000.0,-99999.0
16,11.0,15.0,0,0,1,25.0,1,85.0,30.0,23435.195077396384,3.3493354403436046,0.0,1364.0164394246156,4549.27094456361,1500,11.326880000040335,1,-0.15263800304291844,0.0,11.34000000004042,4.29006086469124,23410.91860801562,112.78072274839776,0.0,0.9902293799580519,0.02465477394197678,1,slack_sky_anchor,23436.869745116557,-300000.0,-99999.0
17,11.0,15.0,0,2,0,15.0,0,70.0,30.0,6517.081671738607,1.448587973816487,0.0,1141.2629281227098,1828.5390230189275,1500,NaN,0,9.744826467609123,9.788939698395167,NaN,14.999999999997222,2112.5060621703637,0.0,954.9047746551408,0.6955365304086882,0.1637635253949189,1,ring_buckling,6517.805965725515,-300000.0,-99999.0
18,11.0,15.0,0,2,0,15.0,0,85.0,30.0,13636.687931953215,3.557995017398499,0.0,1539.3941132481384,4166.1187241258185,1500,8.93272000002465,1,-0.3879217459487297,0.0,8.940000000024698,14.999999999997222,14516.31448941491,19.220326861744045,0.0,0.85595975904819,0.03214228788905861,1,slack_sky_anchor,13638.466929461914,-300000.0,-99999.0
19,11.0,15.0,0,2,0,15.0,1,70.0,30.0,49194.49109354904,1.3673316604999388,0.0,932.9793687937073,2294.915118714306,1500,24.614119999744837,1,-0.3214122066764433,0.0,24.619999999744614,14.999999999997222,15456.880914996576,0.0,954.9047746551408,1.2225108041524493,0.1043305395795864,1,ring_buckling,49195.17475937929,-300000.0,-99999.0
20,11.0,15.0,0,2,0,15.0,1,85.0,30.0,26513.57318969211,4.318146344381395,0.0,1663.2338857464363,4231.668826756796,1500,8.47320000002164,1,0.1104668321651545,0.0,8.480000000021684,14.999999999997222,30564.559623749323,97.57437341077821,0.0,0.88112762378789,0.029082336520868706,1,slack_sky_anchor,26515.7322628643,-300000.0,-99999.0
21,11.0,15.0,0,2,0,25.0,0,70.0,30.0,6491.018251741684,1.463434333638417,0.0,1531.5109673204158,2217.482591543238,1500,NaN,0,9.67274777004231,9.726910021156803,NaN,24.999999999994444,2144.4105391591424,0.0,954.9047746551408,0.6943504767017146,0.14025996188406092,1,ring_buckling,6491.749968908503,-300000.0,-99999.0
22,11.0,15.0,0,2,0,25.0,0,85.0,30.0,16708.589669455072,6.143354795539896,0.0,2762.8153628682726,6307.642079932456,1500,13.157000000052324,1,0.49162264392029714,0.0,13.160000000052344,24.999999999994444,16579.675348143122,17.56230893295276,0.0,1.0759784146044495,0.024641887621570522,1,slack_sky_anchor,16711.66134685284,-300000.0,-99999.0
23,11.0,15.0,0,2,0,25.0,1,70.0,30.0,46756.43945008492,1.407594235035734,0.0,1058.631246021091,2276.3220464059345,1500,24.140599999762763,1,-0.273022626015831,0.0,24.15999999976203,24.999999999994444,15061.287152480252,0.0,954.9047746551408,1.2130016567943755,0.11473515124459731,1,ring_buckling,46757.14324720244,-300000.0,-99999.0
24,11.0,15.0,0,2,0,25.0,1,85.0,30.0,139204.6868078286,5.381252723170298,0.0,4051.941567872579,6691.424481947937,1500,23.703599999779307,1,-0.06604261785561105,0.0,23.719999999778686,24.999999999994444,87625.47838064421,6.346553027488319,0.0,1.4855154906589405,0.02359093617719596,1,slack_sky_anchor,139207.3774341902,-300000.0,-99999.0
