island,gen,idx,status,fitness,n_lines,rings,n_active,r_hub,r_bot,tether,m_airborne_kg,T_mass_1p5_N,T_rotary_actual_N,ratio
1,27,7,reject,1.0e9,16,9,1,0.7,0.7,25.0,200.69614636927636,3142.7764020898317,2224.412579644859,0.7077858221684832
1,27,8,ok,-7.288,16,8,1,0.7,0.7,25.0,200.86680516534707,3145.448812331896,2224.412579644859,0.7071844790237671
1,27,9,ok,-7.296,16,8,1,0.7,0.7,25.0,200.96191788519366,3146.9382181669357,2224.412579644859,0.7068497776040102
1,27,10,ok,-7.297,16,8,1,0.7,0.7,25.0,200.9697993249586,3147.0616365950214,2224.412579644859,0.7068220570511523
1,28,1,ok,-7.296,16,8,1,0.7,0.7,25.0,200.896815060815,3145.9187485664074,2224.412579644859,0.7070788400553961
1,28,2,ok,-7.301,16,8,1,0.7,0.7,25.0,200.43798339373754,3138.7337310067314,2224.412579644859,0.7086974462568989
1,28,3,ok,-7.291,16,8,1,0.7,0.7,25.0,200.95565554810815,3146.8401538763637,2224.412579644859,0.706871805008833
1,28,4,ok,-7.302,16,8,1,0.7,0.7,25.0,200.34771967453594,3137.320257495637,2224.412579644859,0.7090167394706761
1,28,5,ok,-7.089,16,7,1,0.7,0.7,25.0,200.704078859794,3142.9006199408454,2224.412579644859,0.7077578481265265
1,28,6,ok,-7.303,16,8,1,0.7,0.7,25.0,200.73222055601212,3143.341301341007,2224.412579644859,0.7076586238649566
1,28,7,ok,-7.304,16,8,1,0.7,0.7,25.0,200.96478253677645,3146.983076822956,2224.412579644859,0.7068397018170558
1,28,8,ok,-7.299,16,8,1,0.7,0.7,25.0,200.6115710415311,3141.452005238944,2224.412579644859,0.708084215813339
1,28,9,ok,-7.299,16,8,1,0.7,0.7,25.0,200.93212059549342,3146.4716112060637,2224.412579644859,0.7069546001059347
1,28,10,ok,-7.301,16,8,1,0.7,0.7,25.0,200.65668744076012,3142.158499894717,2224.412579644859,0.7079250075129537
1,29,1,ok,-7.303,16,8,1,0.7,0.7,25.0,200.63884195023002,3141.879050649994,2224.412579644859,0.7079879727339189
1,29,2,ok,-7.301,16,8,1,0.7,0.7,25.0,200.68425362975654,3142.5901692109487,2224.412579644859,0.7078277662287003
1,29,3,ok,-7.301,16,8,1,0.7,0.7,25.0,200.45305519365706,3138.969745987492,2224.412579644859,0.708644160233879
1,29,4,ok,-7.303,16,8,1,0.7,0.7,25.0,200.95846645448395,3146.8841709159838,2224.412579644859,0.7068619176400716
1,29,5,ok,-7.302,16,8,1,0.7,0.7,25.0,200.58728166419178,3141.0716487482764,2224.412579644859,0.7081699586608576
1,29,6,ok,-7.304,16,8,1,0.7,0.7,25.0,200.8680893608067,3145.4689220313553,2224.412579644859,0.7071799578322729
1,29,7,ok,-7.302,16,8,1,0.7,0.7,25.0,200.63568695735236,3141.8296454304914,2224.412579644859,0.7079991058331463
1,29,8,ok,-7.301,16,8,1,0.7,0.7,25.0,200.9500464495078,3146.752318892797,2224.412579644859,0.7068915358510107
1,29,9,ok,-7.299,16,8,1,0.7,0.7,25.0,200.81325377566142,3144.6102309896637,2224.412579644859,0.7073730657375612
1,29,10,ok,-7.298,16,8,1,0.7,0.7,25.0,200.66398348961187,3142.2727514664316,2224.412579644859,0.7078992676898506
1,30,1,ok,-7.299,16,8,1,0.7,0.7,25.0,200.67901906565143,3142.5081992038386,2224.412579644859,0.707846229393584
1,30,2,ok,-7.3,16,8,1,0.7,0.7,25.0,200.7870425712713,3144.1997798867505,2224.412579644859,0.707465407851717
1,30,3,ok,-7.302,16,8,1,0.7,0.7,25.0,200.79876441988853,3144.383336720748,2224.412579644859,0.7074241087807954
1,30,4,ok,-7.303,16,8,1,0.7,0.7,25.0,200.3353235707463,3137.126142246427,2224.412579644859,0.7090606111401073
1,30,5,ok,-7.3,16,8,1,0.7,0.7,25.0,200.54547093955404,3140.4169188936035,2224.412579644859,0.7083176014822067
1,30,6,ok,-7.3,16,8,1,0.7,0.7,25.0,200.83403330192593,3144.9356254029203,2224.412579644859,0.707299876562616
1,30,7,ok,-7.296,16,8,1,0.7,0.7,25.0,200.78156697431288,3144.1140354555814,2224.412579644859,0.7074847014327653
