# v13_5kw telemetry  length=25.0  window=20.0  min_clearance=1.5
island,gen,idx,fitness,status,P_mean,P_end,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,lam_top,lam_bot,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
3,13,9,-6.243,ok,6.74,6.24,32.17,false,9.49,3,5,1,1.404,1.404,0.0,3.1,0.104,1.0,25.0,0.009487,0.015,1.32,0.4,1.403996,0.720828,3.587896,3.0,0.8,9.098349,0.0,3.052713,0.1038,1.0
3,13,10,1.0e9,clearance_reject,NaN,NaN,NaN,false,0.84,10,8,3,0.7,0.7,15.4,13.0,0.272,0.36,25.0,0.02846,0.01,1.32,0.663636,0.7,0.316228,3.800971,10.0,0.8,18.987554,15.380171,13.045683,0.272032,0.360204
3,14,1,1.0e9,clearance_reject,NaN,NaN,NaN,false,-1.87,6,4,2,2.2,1.5,3.5,8.0,0.104,0.664,25.0,0.021757,0.010891,1.32,0.747398,2.2,0.316228,3.663311,6.0,0.8,19.0,3.489533,7.995212,0.1038,0.663626
3,14,2,11.367,ok,3.08,1.52,12.61,false,1.7,3,7,2,0.721,0.721,0.0,19.4,0.104,0.751,25.0,0.009487,0.014868,1.167674,0.627848,0.721443,0.856791,3.773262,3.0,-0.467923,1.839504,0.0,19.418961,0.1038,0.751485
3,14,3,-6.898,ok,7.09,6.9,40.83,false,9.44,6,5,1,0.989,0.989,0.0,3.5,0.104,0.993,25.0,0.009487,0.015,1.025645,0.4,0.988593,0.316228,4.174749,6.0,-0.581873,0.0,0.0,3.493517,0.1038,0.992882
3,14,4,1.0e9,clearance_reject,NaN,NaN,NaN,false,-2.46,3,4,2,1.34,1.34,4.3,17.0,0.104,0.921,25.0,0.013955,0.013698,1.134277,0.4,1.340102,0.718344,4.1832,3.0,0.186311,7.246484,4.315397,17.046024,0.1038,0.920713
3,14,5,-6.09,ok,6.71,6.1,19.8,false,8.7,8,5,1,1.303,1.303,0.0,0.0,0.27,0.863,25.0,0.019345,0.012409,1.316121,0.518389,1.303066,0.948683,3.75695,8.0,-0.340773,3.322351,0.0,0.0,0.270465,0.86348
3,14,6,1.0e9,clearance_reject,NaN,NaN,NaN,false,-0.14,3,9,2,0.7,0.7,7.2,3.6,0.104,0.609,25.0,0.021757,0.010031,1.32,0.4,0.7,0.345986,3.291782,3.0,0.678088,6.047706,7.246694,3.557268,0.1038,0.609021
3,14,7,-5.056,ok,6.36,5.64,15.89,false,9.32,13,4,1,2.2,1.5,18.1,7.5,0.104,0.668,25.0,0.02846,0.010625,1.32,0.747398,2.2,0.456302,3.815568,13.0,-0.618925,4.289513,18.119009,7.469067,0.1038,0.667708
3,14,8,1.0e9,clearance_reject,NaN,NaN,NaN,false,-1.21,16,7,2,0.794,0.794,22.0,19.3,0.343,0.672,25.0,0.02846,0.011018,1.32,0.747398,0.794089,0.316228,3.479416,16.0,0.8,16.340772,22.0,19.342962,0.342955,0.672128
3,14,9,-5.065,ok,6.4,5.68,29.58,false,9.49,3,4,1,1.767,1.5,5.3,3.1,0.104,0.609,25.0,0.009487,0.0134,1.208399,0.4,1.766918,0.948683,3.587896,3.0,0.8,9.098349,5.262843,3.052713,0.1038,0.609021
3,14,10,1.0e9,clearance_reject,NaN,NaN,NaN,false,-2.94,4,4,2,1.47,1.47,5.5,22.0,0.249,1.0,25.0,0.009487,0.014119,1.155311,0.627527,1.470441,0.672801,4.167001,4.0,0.255816,10.289501,5.484826,22.0,0.24899,1.0
3,15,1,-3.837,ok,6.11,5.21,323.06,false,9.44,6,4,1,2.2,1.5,15.1,10.2,0.104,0.597,25.0,0.009487,0.01,1.041806,0.747398,2.2,0.740251,3.54984,6.0,0.8,2.706199,15.136319,10.217089,0.1038,0.597167
3,15,2,-6.216,ok,6.63,6.22,19.11,false,9.49,3,4,1,1.406,1.406,5.0,10.2,0.104,0.894,25.0,0.02846,0.013965,1.087222,0.4,1.406338,0.900712,4.139479,3.0,-0.114677,2.890595,4.973971,10.183971,0.1038,0.893656
3,15,3,1.0e9,reject,0.0,0.0,Inf,false,9.35,11,4,1,1.632,1.5,8.2,2.2,0.104,0.822,25.0,0.015655,0.012446,1.188652,0.574641,1.631939,0.473303,3.578827,11.0,0.257792,0.0,8.169097,2.196692,0.1038,0.821862
3,15,4,-5.971,ok,6.49,5.97,23.05,false,9.49,3,4,1,1.566,1.5,0.0,0.0,0.104,1.0,25.0,0.009487,0.013605,1.039372,0.4,1.566428,0.948683,3.912879,3.0,-0.679075,7.713688,0.0,0.0,0.1038,1.0
3,15,5,1.0e9,clearance_reject,NaN,NaN,NaN,false,-0.99,3,7,2,0.7,0.7,0.0,12.9,0.104,1.0,25.0,0.009487,0.013313,0.941022,0.4,0.7,0.570828,4.1832,3.0,-0.750183,3.322351,0.0,12.931584,0.1038,1.0
3,15,6,-5.964,ok,6.49,5.96,17.32,false,9.49,3,4,1,1.571,1.5,0.9,0.0,0.104,1.0,25.0,0.009487,0.015,0.964854,0.4,1.571497,0.948683,3.758624,3.0,-0.724573,0.0,0.928499,0.0,0.1038,1.0
3,15,7,1.0e9,clearance_reject,NaN,NaN,NaN,false,-1.51,3,5,2,1.259,1.259,2.2,0.0,0.104,0.668,25.0,0.009487,0.010865,1.041806,0.4,1.258506,0.720828,3.78111,3.0,-0.227435,14.969252,2.22829,0.0,0.1038,0.667708
3,15,8,1.0e9,reject,0.0,0.0,Inf,false,9.35,11,4,1,1.342,1.342,2.7,20.2,0.104,0.672,25.0,0.009487,0.012878,1.32,0.4,1.341692,0.669612,4.1832,11.0,0.8,9.447881,2.659706,20.205256,0.1038,0.672128
3,15,9,1.0e9,clearance_reject,NaN,NaN,NaN,false,-0.6,7,5,2,1.162,1.162,1.4,0.1,0.104,0.994,25.0,0.021757,0.012896,1.32,0.4,1.161603,0.589487,3.759727,7.0,0.355564,4.82062,1.4179,0.127444,0.1038,0.993859
3,15,10,-6.418,ok,6.9,6.42,11.01,false,8.54,12,5,1,1.193,1.193,0.8,12.7,0.269,0.744,25.0,0.018647,0.011275,1.306942,0.659352,1.193162,0.316228,3.800971,12.0,0.8,12.43473,0.794462,12.7165,0.269298,0.744134
3,16,1,-5.473,ok,6.47,5.8,52.58,false,9.44,6,4,1,1.837,1.5,3.5,0.9,0.104,1.0,25.0,0.021666,0.014247,0.89056,0.4,1.836828,0.948683,4.1832,6.0,-0.8,0.0,3.489533,0.922363,0.1038,1.0
3,16,2,-5.207,ok,6.32,5.63,21.28,false,9.02,3,4,1,1.406,1.406,5.0,10.6,0.245,0.792,25.0,0.02846,0.013542,0.967318,0.620646,1.406338,0.900712,4.139479,3.0,-0.26748,6.166485,4.973971,10.622844,0.244599,0.791756
3,16,3,1.0e9,clearance_reject,NaN,NaN,NaN,false,1.22,12,5,2,0.989,0.989,20.6,9.3,0.104,0.437,25.0,0.02846,0.01,1.025645,0.747398,0.988593,0.316228,4.174749,12.0,0.8,18.371796,20.606432,9.267369,0.1038,0.437389
3,16,4,1.0e9,clearance_reject,NaN,NaN,NaN,false,-2.76,3,5,2,1.125,1.125,0.0,1.8,0.104,1.0,25.0,0.009487,0.013605,1.30731,0.4,1.124569,0.495046,4.1832,3.0,-0.112917,1.846907,0.0,1.779194,0.1038,1.0
3,16,5,-6.262,ok,6.64,6.26,53.1,false,9.45,5,4,1,1.444,1.444,0.0,11.4,0.104,0.834,25.0,0.020882,0.012442,1.32,0.4,1.444042,0.948683,3.75695,5.0,0.360905,3.322351,0.0,11.376963,0.1038,0.834065
3,16,6,-7.131,ok,7.24,7.13,68.53,false,9.49,3,7,1,0.7,0.7,1.9,7.0,0.104,0.852,25.0,0.009487,0.013511,0.964854,0.4,0.7,0.948683,3.975971,3.0,-0.114677,0.0,1.866473,7.012256,0.1038,0.851508
3,16,7,-5.384,ok,5.96,5.41,5.85,false,9.32,13,3,1,2.2,1.5,14.6,10.3,0.104,0.928,25.0,0.021757,0.010865,1.056589,0.4,2.2,0.438792,4.1832,13.0,-0.505046,14.969252,14.571519,10.275529,0.1038,0.927981
3,16,8,-7.029,ok,7.17,7.03,95.8,false,9.45,5,7,1,0.834,0.834,0.0,16.7,0.104,0.903,25.0,0.009487,0.011018,1.19155,0.4,0.834007,0.316228,3.621409,5.0,-0.162,0.0,0.0,16.725227,0.1038,0.902877
