# v13_5kw_masslift telemetry  length=18.8  window=40.0  min_clearance=1.5  lift=mass-aware-const-tension  margin=1.5  era=post-4ce9fd0_daisy-anchored-5kw  git=1c9f9cbf4eac8f6d7909ab4d6cb5ee62417cb979
island,gen,idx,fitness,status,P_mean,P_end,T_lift,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,blade_scale_top,blade_scale_bottom,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2,8,7,1.0e9,reject,4.59,4.64,422.75,8.84,false,5.77,8,13,2,2.39,0.657,0.0,0.4,0.599,0.359,18.8,2.38997,0.6574,1.757341,8.0,-0.104157,2.466029,0.0,0.443061,0.599034,0.359168
2,8,8,1.0e9,reject,0.0,0.0,0.0,Inf,false,5.65,5,20,3,2.209,0.769,0.0,0.0,0.84,0.8,18.8,2.209356,0.769357,1.0,5.0,-0.702214,3.0,0.0,0.0,0.84018,0.800373
2,8,9,1.0e9,reject,5.93,6.02,961.43,1.4,false,5.6,7,15,2,2.381,0.453,5.1,22.0,0.973,0.303,18.8,2.380804,0.452558,1.944857,7.0,-0.156205,2.04842,5.12216,22.0,0.973005,0.303117
2,8,10,101.581,ok,6.15,6.19,1329.3,6.44,false,3.38,8,11,3,2.323,0.621,0.0,0.0,0.857,1.0,18.8,2.322587,0.62145,1.748311,8.0,-0.229869,3.0,0.0,0.0,0.857153,1.0
2,9,1,48.033,ok,4.99,5.03,470.38,15.0,false,5.37,5,21,3,2.4,0.647,0.0,0.0,0.703,0.7,18.8,2.4,0.646607,1.000731,5.0,0.206595,3.0,0.0,0.0,0.702849,0.7
2,9,2,45.911,ok,5.01,5.05,429.91,3.36,false,5.1,6,11,2,2.593,0.71,10.8,13.4,0.713,0.411,18.8,2.59343,0.709974,1.942319,6.0,-0.199535,1.719287,10.758818,13.360928,0.713083,0.410656
2,9,3,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.04,7,12,1,2.61,0.695,12.0,21.5,0.713,0.156,18.8,2.609652,0.695149,2.090582,7.0,-0.23029,1.042963,12.008116,21.483993,0.713083,0.156166
2,9,4,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.54,6,14,1,2.372,0.686,12.1,22.0,0.548,0.14,18.8,2.372319,0.686398,1.928313,6.0,-0.162755,1.0,12.087476,22.0,0.547529,0.14
2,9,5,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.7,7,14,1,2.17,0.609,12.1,22.0,0.529,0.14,18.8,2.169756,0.608991,2.1,7.0,-0.685506,1.12382,12.087476,22.0,0.529212,0.14
2,9,6,1.0e9,reject,5.53,5.59,602.22,1.08,false,5.69,7,12,2,2.313,0.659,4.7,18.4,0.803,0.359,18.8,2.313357,0.659252,1.909067,7.0,-0.8,1.814844,4.658672,18.361826,0.803304,0.359168
2,9,7,39.604,ok,5.55,5.6,449.53,8.53,false,7.06,5,17,1,2.445,0.666,8.6,0.0,0.882,0.14,18.8,2.44508,0.666222,1.561673,5.0,0.110565,1.061637,8.580055,0.0,0.88167,0.14
2,9,8,74.693,ok,5.01,5.04,1069.67,10.86,false,3.16,7,10,3,2.672,0.768,0.0,0.0,0.84,1.0,18.8,2.672402,0.767872,1.5,7.0,-0.033641,3.0,0.0,0.0,0.84018,1.0
2,9,9,1.0e9,reject,6.02,6.3,949.99,0.65,false,5.18,7,9,2,2.486,0.683,9.5,17.3,0.973,0.326,18.8,2.486304,0.682686,2.1,7.0,-0.420667,1.623623,9.478039,17.250653,0.973005,0.325656
2,9,10,51.95,ok,5.48,5.54,577.46,13.1,false,4.48,6,14,3,2.407,0.601,4.7,5.3,0.766,0.594,18.8,2.406927,0.600503,1.372897,6.0,-0.753723,2.918132,4.658672,5.325109,0.76571,0.594357
2,10,1,1.0e9,reject,0.0,0.0,0.0,Inf,false,5.0,5,11,2,2.511,0.749,0.0,22.0,0.522,0.666,18.8,2.511338,0.748562,1.890597,5.0,-0.250944,2.185412,0.0,22.0,0.522156,0.665936
2,10,2,141.858,ok,7.5,7.52,1603.57,7.46,false,4.26,8,11,3,2.054,0.71,10.8,13.4,1.0,0.8,18.8,2.054041,0.709974,1.718854,8.0,-0.794816,2.968512,10.758818,13.360928,1.0,0.800373
2,10,3,53.677,ok,5.53,5.58,610.76,5.19,false,5.32,7,12,2,2.504,0.632,0.0,12.0,0.771,0.449,18.8,2.50391,0.632275,1.844997,7.0,-0.8,2.275999,0.0,12.024107,0.770841,0.449283
2,10,4,1.0e9,reject,0.0,0.0,0.0,Inf,false,3.77,4,11,3,2.238,0.544,2.8,3.3,0.657,0.452,18.8,2.237789,0.544342,1.928313,4.0,-0.23339,2.949977,2.846542,3.253748,0.657346,0.452144
2,10,5,54.499,ok,5.4,5.44,678.34,5.42,false,4.48,7,10,2,2.72,0.694,12.1,14.9,0.794,0.517,18.8,2.719555,0.694207,2.1,7.0,-0.587545,1.695541,12.087476,14.905532,0.793889,0.516703
2,10,6,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.32,5,25,2,2.291,0.566,3.0,0.0,0.897,0.8,18.8,2.291229,0.566381,1.076029,5.0,-0.511875,2.405228,2.959448,0.0,0.897192,0.800373
2,10,7,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.48,4,18,1,2.124,0.557,0.0,0.0,0.882,0.836,18.8,2.123755,0.557145,1.802359,4.0,-0.60798,1.061637,0.0,0.0,0.88167,0.83638
2,10,8,83.91,ok,6.54,6.62,784.35,7.99,false,3.93,7,10,3,1.98,0.603,6.9,7.9,0.84,0.605,18.8,1.97997,0.60302,2.1,7.0,-0.8,3.0,6.906551,7.894554,0.84018,0.604644
2,10,9,64.121,ok,5.75,5.82,646.82,4.43,false,7.13,8,14,1,2.112,0.662,11.6,8.3,0.895,0.742,18.8,2.111918,0.661774,1.932228,8.0,-0.8,1.063661,11.645997,8.286354,0.894974,0.741626
2,10,10,1.0e9,reject,4.37,4.41,396.64,14.88,false,3.24,4,10,3,2.752,0.693,0.0,0.0,0.689,0.816,18.8,2.752487,0.693156,1.497509,4.0,0.32686,3.0,0.0,0.0,0.688991,0.81582
