scenario,t,hub_x,hub_z,elev_deg,omega_hub,twist_deg,T_max
SingleKite_v3p5,4.399999999999959,24.92782914869701,14.610368457743366,30.374854547151312,0.01665410219251457,-1.434540151839706,0.0
SingleKite_v3p5,4.403999999999958,24.927741671637698,14.61033236401131,30.374880511990543,0.016544363758460592,-1.4762014290628576,0.0
SingleKite_v3p5,4.407999999999958,24.927654147636506,14.61029625241195,30.37490649349998,0.016433467226429174,-1.5182861595585033,0.0
SingleKite_v3p5,4.411999999999957,24.927566575969006,14.610260124645823,30.374932495315566,0.01632141183655238,-1.560791230630801,0.0
SingleKite_v3p5,4.415999999999957,24.927478956233134,14.61022398209845,30.37495852021115,0.0162082246214733,-1.6037123107393507,0.0
SingleKite_v3p5,4.419999999999956,24.927391288500854,14.610187825835057,30.3749845699373,0.01609396578345158,-1.6470432391967051,0.0
SingleKite_v3p5,4.423999999999956,24.92730357348607,14.610151656616047,30.37501064507946,0.015978747409010827,-1.6907760621650216,0.0
SingleKite_v3p5,4.4279999999999555,24.927215812214232,14.610115474902663,30.375036745398862,0.015862501615187437,-1.7349012238338353,0.0
SingleKite_v3p5,4.431999999999955,24.927128004850214,14.610079280815915,30.37506287093757,0.01574502454620708,-1.7794076859923005,0.0
SingleKite_v3p5,4.435999999999955,24.927040150897128,14.610043074163693,30.375089021865545,0.01562621064114663,-1.8242828535030438,0.0
SingleKite_v3p5,4.439999999999954,24.92695225000291,14.610006854508415,30.37511519778756,0.015506095973148493,-1.8695124878731855,0.0
SingleKite_v3p5,4.443999999999954,24.926864302660015,14.609970621245013,30.375141397175,0.015384845259433493,-1.9150807852986385,0.0
SingleKite_v3p5,4.447999999999953,24.92677631067873,14.609934373686102,30.375167617036972,0.015262738749173593,-1.9609706239077827,0.0
SingleKite_v3p5,4.451999999999953,24.926688277529134,14.609898111159586,30.375193852744317,0.015140168600647822,-2.0071638082150813,0.0
SingleKite_v3p5,4.455999999999952,24.926600208553577,14.609861833117613,30.375220098002945,0.01501761994078469,-2.0536413649625125,0.0
SingleKite_v3p5,4.459999999999952,24.926512110943353,14.60982553924622,30.37524634506477,0.01489562698895945,-2.100386782595246,0.0
SingleKite_v3p5,4.463999999999952,24.926423993529202,14.609789229571112,30.375272585118744,0.01477473544807976,-2.14738704268385,0.0
SingleKite_v3p5,4.467999999999951,24.926335864089264,14.609752904412867,30.375298810913655,0.014654342768509547,-2.1946331349985826,0.0
SingleKite_v3p5,4.471999999999951,24.926247725378254,14.609716564179958,30.375325020385926,0.014534229671613089,-2.2421221589205436,0.0
SingleKite_v3p5,4.47599999999995,24.926159584011973,14.60968020985272,30.375351208578486,0.014416071563445371,-2.289876461800793,0.0
SingleKite_v3p5,4.47999999999995,24.926071453221695,14.609643843244179,30.37537736532499,0.01430062717616517,-2.3379784317904515,0.0
SingleKite_v3p5,4.483999999999949,24.925983338306533,14.609607466254655,30.375403488562483,0.014185684280802564,-2.386436079650919,0.0
SingleKite_v3p5,4.487999999999949,24.925895236363985,14.609571080702377,30.375429584311988,0.014070524343721892,-2.435221730070282,0.0
SingleKite_v3p5,4.4919999999999485,24.925807142878586,14.609534688514483,30.375455660398433,0.013954853151510491,-2.4843096020461664,0.0
SingleKite_v3p5,4.495999999999948,24.925719053341982,14.609498291666492,30.375481724722487,0.013838581106832126,-2.5336886317999343,0.0
SingleKite_v3p5,4.499999999999948,24.925630964120153,14.60946189210574,30.375507784259927,0.013721748915351991,-2.583361873591504,0.0
SingleKite_v3p5,4.503999999999947,24.925542872814724,14.609425491677918,30.37553384457363,0.013604462995204325,-2.6333368686455123,0.0
SingleKite_v3p5,4.507999999999947,24.925454778288028,14.609389092065962,30.375559909683844,0.013486851324441981,-2.683619611329551,0.0
SingleKite_v3p5,4.511999999999946,24.925366679962877,14.60935269471468,30.37558598264136,0.013368568995138108,-2.7342109749778563,0.0
SingleKite_v3p5,4.515999999999946,24.92527857253165,14.609316300477396,30.375612070228833,0.013248010444844704,-2.785103566233188,0.0
SingleKite_v3p5,4.519999999999945,24.925190447934547,14.609279909597326,30.375638180945053,0.013124944143515834,-2.8362801946264864,0.0
SingleKite_v3p5,4.523999999999945,24.925102301711156,14.609243521996454,30.375664319129825,0.013000143287624909,-2.887715418852967,0.0
SingleKite_v3p5,4.5279999999999445,24.9250141353992,14.609207137459578,30.375690482873193,0.012874625530862684,-2.9393743493806883,0.0
SingleKite_v3p5,4.531999999999944,24.924925954284898,14.609170755637935,30.375716666277537,0.012748880464179916,-2.991221543008402,0.0
SingleKite_v3p5,4.535999999999944,24.924837764562476,14.60913437602961,30.375742862272542,0.01262299976221471,-3.0432289894665208,0.0
SingleKite_v3p5,4.539999999999943,24.924749572061074,14.609097998028387,30.375769063975433,0.012496941677504645,-3.0953838440748616,0.0
SingleKite_v3p5,4.543999999999943,24.924661382375323,14.60906162103241,30.37579526474598,0.012370737239727923,-3.1476745359854172,0.0
SingleKite_v3p5,4.547999999999942,24.924573200977424,14.609025244816609,30.375821458711297,0.012243232804943893,-3.200069358328183,0.0
SingleKite_v3p5,4.551999999999942,24.924485083679784,14.608988880964374,30.37584760971853,0.01211374375407448,-3.2525149091688257,0.0
SingleKite_v3p5,4.555999999999941,24.924397148903203,14.608952556377494,30.375873645036393,0.011982308152207116,-3.3049428592867667,0.0
SingleKite_v3p5,4.559999999999941,24.92430951385722,14.608916300666705,30.375899497781894,0.011849185561948096,-3.3572801046867897,0.0
SingleKite_v3p5,4.5639999999999405,24.924222287536878,14.608880144756078,30.375925111555926,0.011714824162878551,-3.4094623835470346,0.0
SingleKite_v3p5,4.56799999999994,24.924135570049405,14.608844120677793,30.375950440767536,0.011579794518822616,-3.461442016022938,0.0
SingleKite_v3p5,4.57199999999994,24.924049451419442,14.608808261089111,30.375975451005903,0.011444810278605971,-3.513183512692821,0.0
SingleKite_v3p5,4.575999999999939,24.923964012103067,14.608772599045968,30.37600011813774,0.011310582800346863,-3.564656216845685,0.0
SingleKite_v3p5,4.579999999999939,24.923879325931985,14.608737168266597,30.3760244258058,0.011178404846414008,-3.615827578925293,0.0
SingleKite_v3p5,4.583999999999938,24.923795466824675,14.608702004257896,30.376048360625866,0.011051168826134723,-3.6666577415016315,0.0
SingleKite_v3p5,4.587999999999938,24.92371250755902,14.60866714370901,30.37607191238004,0.010925125068542244,-3.717101047067894,0.0
SingleKite_v3p5,4.5919999999999375,24.923630488258542,14.60863261664831,30.376095092202192,0.010795920321398526,-3.7671064314092426,0.0
SingleKite_v3p5,4.595999999999937,24.923549405528455,14.608598442798844,30.376117937237847,0.010664519350305846,-3.816617149542123,0.0
SingleKite_v3p5,4.599999999999937,24.923469228557924,14.60856463408561,30.376140498785855,0.010531587052626547,-3.8655805449362317,0.0
SingleKite_v3p5,4.603999999999936,24.923389911577566,14.60853119652186,30.376162833032545,0.010397568049406086,-3.913958612097812,0.0
SingleKite_v3p5,4.607999999999936,24.923311403680632,14.608498131717582,30.376184993783216,0.010262686740276309,-3.9617352676496287,0.0
