v_wind_m_s,bank_angle_deg,omega_rad_s,v_axial_m_s,v_app_m_s,phi_inflow_deg,lambda,L_per_blade_N,D_per_blade_N,LD_ratio,F_radial_N,F_axial_N,tau_lift_Nm,tau_drag_Nm,tau_net_Nm,P_per_rotor_kW,P_total_3rotors_kW
6.0,5.0,7.0,5.2,14.93,20.36,2.33,49.2,3.4,14.3,32.1,367.4,272.7,51.6,221.1,1.548,4.643
6.0,5.0,9.0,5.2,18.73,16.1,3.0,77.4,5.4,14.3,51.8,592.6,342.1,83.3,258.9,2.33,6.989
6.0,5.0,10.0,5.2,20.66,14.56,3.33,94.2,6.6,14.3,63.5,726.3,377.4,102.1,275.3,2.753,8.259
6.0,5.0,12.0,5.2,24.56,12.22,4.0,133.0,9.3,14.3,90.6,1035.6,448.4,145.5,302.9,3.635,10.905
6.0,5.0,15.0,5.2,30.45,9.83,5.0,204.4,14.3,14.3,140.4,1605.1,556.0,225.6,330.5,4.957,14.87
6.0,5.0,20.0,5.2,40.34,7.4,6.67,358.8,25.1,14.3,248.1,2835.3,736.6,398.5,338.2,6.763,20.29
6.0,10.0,3.0,5.2,7.94,40.89,1.0,13.9,1.0,14.3,14.6,82.7,143.3,11.8,131.5,0.395,1.184
6.0,10.0,5.0,5.2,11.27,27.46,1.67,28.0,2.0,14.3,34.5,195.8,203.5,27.8,175.6,0.878,2.634
6.0,10.0,7.0,5.2,14.93,20.36,2.33,49.2,3.4,14.3,64.0,363.2,269.6,51.6,218.0,1.526,4.577
6.0,10.0,9.0,5.2,18.73,16.1,3.0,77.4,5.4,14.3,103.3,585.8,338.2,83.3,255.0,2.295,6.884
6.0,10.0,10.0,5.2,20.66,14.56,3.33,94.2,6.6,14.3,126.6,717.9,373.1,102.1,271.0,2.71,8.13
6.0,10.0,12.0,5.2,24.56,12.22,4.0,133.0,9.3,14.3,180.5,1023.8,443.3,145.5,297.8,3.573,10.72
6.0,10.0,15.0,5.2,30.45,9.83,5.0,204.4,14.3,14.3,279.8,1586.8,549.7,225.6,324.1,4.861,14.584
