P_kw,hub_z,delta_alpha_deg,tau_gen,omega_gnd,T_max,n_slack,backline_payout,omega_hub,ring_max_util,mode,delta_omega,t
9.775603096066233e-6,17.116939794768964,-167.42757815821804,0.007553138704082338,1.2942438208876919,73.00853857953928,70,21.67864163242751,0.029372473853837747,1.5700998816813192,Mode 2 (LPF Speed),-1.2648713470338542,13.800000000056537
6.275849732007757e-5,17.111453543699344,-168.7231362587482,0.07664483515235113,0.8188222623915764,653.3580452465696,72,21.71634298606985,0.09352536783484762,2.793979293086242,Mode 2 (LPF Speed),-0.7252968945567287,13.820000000056668
0.00014885945386816326,17.101526978947035,-169.42337607120356,0.203155089338944,0.7327380000793685,768.0584983454308,73,21.753877286067873,0.15218025269170546,3.3487374825014284,Mode 2 (LPF Speed),-0.5805577473876631,13.840000000056799
0.0003160227055393922,17.092272647732813,-170.16706443615598,0.32856293152867805,0.9618331077978244,354.5611483783402,73,21.79124365778601,0.19342482423816137,2.317274269279275,Mode 2 (LPF Speed),-0.7684082835596631,13.86000000005693
0.00046132830256030054,17.091906639843412,-171.10026754589148,0.4558183341907513,1.0120880797375813,237.51278193827335,72,21.828441226588684,0.22774113876874116,1.8655720253455828,Mode 2 (LPF Speed),-0.7843469409688402,13.880000000057061
0.0005652734464373559,17.098888448466333,-171.46916071774626,0.6708083722229341,-0.8426750020488636,524.1560739155785,70,21.865469117840338,0.2762282851734369,2.185390321168916,Mode 2 (LPF Speed),1.1189032872223006,13.900000000057192
0.003842612041831112,17.107654440453516,-168.25941937923233,0.8571513745214212,-4.483002834798675,0.0,75,21.902326456905392,0.3122254017564941,0.9646817356379378,Mode 2 (LPF Speed),4.795228236555169,13.920000000057323
0.008542382020033344,17.12074462559726,-160.24983267919774,0.9893176316213259,-8.634620213968905,0.0,75,21.93901236914829,0.3354737049184489,1.5283447911292205,Mode 2 (LPF Speed),8.970093918887354,13.940000000057454
0.011449269682869538,17.140214333203787,-148.5437923751047,1.0500355190558441,-10.903697517931896,0.0,75,21.975525979933455,0.3457375938238153,1.6338202838294191,Mode 2 (LPF Speed),11.24943511175571,13.960000000057585
0.011899883798327395,17.167583053275838,-135.65169477023142,1.1178355124322417,-10.64546945054111,0.0,75,22.011866414625317,0.35694576844324477,1.0444492028558103,Mode 2 (LPF Speed),11.002415218984355,13.980000000057716
0.012255605843815782,17.19772688448573,-123.31382530497748,1.2133418807846326,-10.100702891661864,0.0,75,22.04803279858832,0.3721779036351672,1.4232380379084029,Mode 2 (LPF Speed),10.472880795297032,14.000000000057847
0.011937612272795562,17.22760844715451,-111.8296254782952,1.301068770789276,-9.175235422454854,0.0,75,22.084024257186886,0.38575426322313494,0.6715660158987612,Mode 2 (LPF Speed),9.560989685677988,14.020000000057978
0.011512307575419914,17.25732475670393,-101.38483640291062,1.3898773251413612,-8.282966681429258,69.52554263932221,74,22.119839915785438,0.39911883058003345,0.7961752061093327,Mode 2 (LPF Speed),8.68208551200929,14.040000000058109
0.00992927441421634,17.28620647188196,-92.0024172747738,1.4365540456965349,-6.911869723218094,162.45072323500347,74,22.15547889974842,0.4062279328403022,1.8550435774213139,Mode 2 (LPF Speed),7.318097656058396,14.06000000005824
0.007693813650617511,17.313034713352963,-84.49745605640345,1.4186576021586834,-5.42330555231249,99.8151099543237,74,22.190940334440263,0.4041689070033667,1.7290114712538058,Mode 2 (LPF Speed),5.827474459315857,14.080000000058371
0.006320844360113014,17.338830271111792,-78.30209760810317,1.3456397583312847,-4.69727824328811,0.0,75,22.226223345225392,0.39411157164444144,1.4162520864081307,Mode 2 (LPF Speed),5.091389814932552,14.100000000058502
0.005804418489950483,17.365328268334114,-72.6265275735138,1.2761171262334294,-4.54849979725821,0.0,75,22.261327057468243,0.38427879782595903,1.231120663510984,Mode 2 (LPF Speed),4.932778595084169,14.120000000058633
0.005924207987209689,17.392549369125085,-66.77300427139478,1.2376283186882904,-4.786742431272504,0.0,75,22.296250596533252,0.3789161013602389,0.9891279051497858,Mode 2 (LPF Speed),5.165658532632743,14.140000000058764
0.0058380437303237115,17.41540571248152,-61.00651875559399,1.296400454723737,-4.503271893380968,0.0,75,22.33099308778484,0.3882427004222879,1.7954336270121287,Mode 2 (LPF Speed),4.891514593803256,14.160000000058895
0.00633376338718211,17.434139098882877,-55.55678616587114,1.4990348915540077,-4.225227459926616,133.45390570208488,74,22.365553656587444,0.4178827516389253,1.9552004788295718,Mode 2 (LPF Speed),4.643110211565541,14.180000000059026
0.006381539359014685,17.449245735017566,-50.43056097965282,1.6764876327616725,-3.806493548957708,72.12734408193663,74,22.399931428305496,0.44227604421215044,1.7716153063606324,Mode 2 (LPF Speed),4.248769593169858,14.200000000059157
0.0064397898711167165,17.462543149462135,-45.72904110675866,1.8235316034054072,-3.531493426870444,53.872229710690526,74,22.434125528303422,0.4615705422459635,1.3955196482986316,Mode 2 (LPF Speed),3.993063969116408,14.220000000059288
0.006555937844316659,17.474608478013927,-41.25503717137294,1.9383417341510263,-3.3822404629739307,147.1952901362693,74,22.468135081945668,0.4761346581631427,1.8708621070047748,Mode 2 (LPF Speed),3.8583751211370734,14.24000000005942
0.007339985778765643,17.483228581999548,-36.65827069355795,2.0199688767657475,-3.6337123126956223,0.0,75,22.501959214596646,0.48623114433474374,1.5898861286398944,Mode 2 (LPF Speed),4.119943457030366,14.26000000005955
0.010948582316366836,17.48935286073551,-30.431402018789278,1.951579530333239,-5.6101133190802255,0.0,75,22.535597051620805,0.4780306735351691,1.1297447643991407,Mode 2 (LPF Speed),6.088143992615395,14.280000000059681
0.010244491120662976,17.492185371994566,-23.202767811051782,1.6568000517219048,-6.1832996142267875,0.0,75,22.569047718382556,0.4404709257330615,0.7170933621059925,Mode 2 (LPF Speed),6.623770539959849,14.300000000059812
0.007460358835160526,17.490080938939872,-15.49701007776236,1.224106480849484,-6.094534218937651,0.0,75,22.60231034024635,0.37854682048036387,1.378660484008933,Mode 2 (LPF Speed),6.473081039418014,14.320000000059943
0.004686775175086265,17.48425522066751,-8.62982307543376,0.919861886875357,-5.09508573184458,0.0,75,22.63538404257661,0.32804262443195403,1.5308712406084897,Mode 2 (LPF Speed),5.423128356276534,14.340000000060074
0.00298356014116918,17.483374562274925,-2.977728595260901,0.703995547439002,-4.238038368314669,188.8717971467176,74,22.668267950737775,0.28690929826374706,1.548804140844527,Mode 2 (LPF Speed),4.524947666578416,14.360000000060205
0.0017592294931340242,17.483843439928705,1.8822400612193035,0.46607054616538146,-3.7745991623117403,539.0813130140054,74,22.70096119009426,0.2333897209409985,1.5636357208771634,Mode 2 (LPF Speed),4.007988883252739,14.380000000060337
0.0009815190944840813,17.483817822334792,6.150621977618707,0.32317419187269264,-3.0371209062100144,440.81508201287306,74,22.733462886010514,0.19429810143065812,1.3802821276925856,Mode 2 (LPF Speed),3.2314190076406724,14.400000000060468
0.00045554829438236913,17.48759088567231,9.24633029978878,0.22850157840162372,-1.9936330311980552,523.2349162372637,74,22.765772163850954,0.1633565917228765,1.3512760099917136,Mode 2 (LPF Speed),2.1569896229209315,14.420000000060599
0.0001656489022079726,17.492419048526106,11.07399671503337,0.1754015610300212,-0.9443981070363487,461.3086612582534,73,22.79788814898002,0.1431140895054251,1.3136370615779505,Mode 2 (LPF Speed),1.0875121965417738,14.44000000006073
3.27244488367195e-5,17.497908995935802,11.870205698333471,0.13153375309796114,-0.24879126510096328,204.645138303237,73,22.829809966762145,0.12393425586018122,0.9512423437207036,Mode 2 (LPF Speed),0.37272552096114453,14.46000000006086
4.7418584244229126e-5,17.506152493688273,12.277577757488242,0.09845653050918146,-0.4816194923688394,0.388109317243641,75,22.86153674256176,0.10723864753054631,0.659404275806776,Mode 2 (LPF Speed),0.5888581398993857,14.480000000060992
7.36125158905846e-5,17.518664210399084,13.2575853370255,0.08459676976306564,-0.8701575260704968,213.58952959239576,74,22.893067601743294,0.09943101090750842,0.7558892397719281,Mode 2 (LPF Speed),0.9695885369780052,14.500000000061123
7.903047841498221e-5,17.533125554555287,14.324598110275415,0.10514742661660971,-0.7516159069032137,325.2941407707388,74,22.92440166967117,0.11089226910425198,0.5303031393379166,Mode 2 (LPF Speed),0.8625081760074657,14.520000000061254
0.00014759182687378532,17.548580057303344,15.35081989008013,0.15199647837568622,-0.9710213581987471,200.55179553747047,74,22.955538071709835,0.13338609662574583,1.0268810832047583,Mode 2 (LPF Speed),1.1044074548244929,14.540000000061385
0.00016578335704616555,17.560944142249266,16.557839473120403,0.22787833116725165,-0.7275082110571041,273.5339422056966,72,22.986475933223716,0.16339459534431294,2.2725514576956654,Mode 2 (LPF Speed),0.8909028064014171,14.560000000061516
9.05851100215315e-5,17.571735972644685,17.361519364371944,0.24919291730188808,-0.36351398347245545,0.0,75,23.01721437957724,0.17094278902999507,1.3491315507742372,Mode 2 (LPF Speed),0.5344567725024505,14.580000000061647
2.6841646960716447e-5,17.580942658672246,17.807862137141758,0.20271355171134192,-0.13241170476327185,116.37201369100943,74,23.047752536134837,0.15424654295196835,1.0581051728488653,Mode 2 (LPF Speed),0.2866582477152402,14.600000000061778
1.8702591840410608e-5,17.585682736485644,18.114811943202966,0.12454136013823186,-0.1501717326649724,0.0,75,23.078089528260943,0.1209446199917146,1.2056505594669933,Mode 2 (LPF Speed),0.271116352656687,14.620000000061909
2.8779560001740404e-5,17.585337899399367,18.550044839986718,0.05115741763344964,-0.5625686622407361,3.7248930180135176,75,23.10822448131999,0.07753406806952871,0.8452257057885759,Mode 2 (LPF Speed),0.6401027303102648,14.64000000006204
1.0818116850717055e-6,17.581590998009762,19.14605053324374,0.005376138642273183,-0.20122466272824485,223.33782965051378,74,23.138156520676397,0.025138884310760064,1.0817733147919668,Mode 2 (LPF Speed),0.2263635470390049,14.66000000006217
0.0,17.57751871276148,19.126627167506943,0.0,0.13931055845693402,420.0171258774645,73,23.167884771694613,-0.02570174762821239,1.4052832842978433,Mode 2 (LPF Speed),-0.16501230608514642,14.680000000062302
0.0,17.576890895886528,18.780244719797896,0.0,0.37891776997693,366.45667400645965,73,23.19740835973908,-0.06780964241590098,1.6075852477845736,Mode 2 (LPF Speed),-0.446727412392831,14.700000000062433
0.0,17.580737774903557,18.235251669583768,0.0,0.4007642192953671,313.577116134737,73,23.226726410174198,-0.11300384966294143,0.9374415674298782,Mode 2 (LPF Speed),-0.5137680689583085,14.720000000062564
0.0,17.5873178022089,17.53943616123808,0.0,0.5372959478196631,196.87095475142792,73,23.255838048364406,-0.1544206727860879,0.8442329933787908,Mode 2 (LPF Speed),-0.691716620605751,14.740000000062695
0.0,17.59903023939872,16.177010462632232,0.0,1.1907050810045683,76.82403634813102,74,23.28474239967414,-0.18411560797531454,0.8988884086892754,Mode 2 (LPF Speed),-1.3748206889798829,14.760000000062826
0.0,17.614047447700376,14.54393816991374,0.0,1.3347068472158006,485.1719959609963,73,23.31343858946785,-0.21168574696785872,0.7076767793920001,Mode 2 (LPF Speed),-1.5463925941836594,14.780000000062957
0.0,17.629942942762845,12.466269771977075,0.0,1.9082182947664195,482.2457635106462,72,23.341925743109943,-0.2246809166342381,1.1284765621505162,Mode 2 (LPF Speed),-2.1328992114006575,14.800000000063088
0.0,17.6453750643091,9.72629097713682,0.0,2.511742889082087,230.85148912557332,72,23.370202985964845,-0.2226952533416693,0.8314040791719269,Mode 2 (LPF Speed),-2.7344381424237563,14.820000000063219
0.0,17.660811298264395,6.272589519201786,0.0,2.813258830185394,26.796630211100698,74,23.39826944339702,-0.19729996812849568,2.166108190181351,Mode 2 (LPF Speed),-3.0105587983138897,14.84000000006335
0.0,17.674531323993897,3.0683938359064546,0.0,2.4695453794736295,13.38898643740653,74,23.426124240770868,-0.16549034803157253,1.9798746985968068,Mode 2 (LPF Speed),-2.635035727505202,14.860000000063481
0.0,17.684901716525303,0.13592641164938532,0.0,2.4129307616104447,527.7040868003003,73,23.453766503450847,-0.10756762141532038,1.6755794731536153,Mode 2 (LPF Speed),-2.5204983830257652,14.880000000063612
0.0,17.688058629000924,-2.8174254927387565,0.0,2.7125736704393972,95.76460736382995,74,23.481195356801365,-0.05084056744692871,0.9282538385811709,Mode 2 (LPF Speed),-2.763414237886326,14.900000000063743
0.0,17.69179283288627,-6.082009660467785,0.0,2.5527697861512664,129.0787236455779,73,23.508409926186868,-0.004801042637634034,0.9980488462948135,Mode 2 (LPF Speed),-2.5575708287889003,14.920000000063874
4.643069589676562e-6,17.697353145809696,-8.933406815092184,0.0017676017925132982,2.6267622093066136,247.06535472752486,73,23.53540933697178,0.014471651813420087,1.1558972946563948,Mode 2 (LPF Speed),-2.6122905574931936,14.940000000064005
1.2255383234354075e-5,17.70468620637052,-12.051954139427634,0.0043456256985796365,2.820165399509612,136.25126657049972,72,23.56219271452053,0.022692903397648713,2.5510859391252247,Mode 2 (LPF Speed),-2.797472496111963,14.960000000064136
0.0,17.709001595603944,-15.278681910112024,0.0,2.727806709885993,430.5327405635724,73,23.58875918419756,-0.0010400668961182355,2.3773576453377547,Mode 2 (LPF Speed),-2.728846776782111,14.980000000064267
0.0,17.710664592499448,-18.186808708711485,0.0,2.363726414205652,710.9424629492516,73,23.615107871367286,-0.025852754607463817,3.551663874163039,Mode 2 (LPF Speed),-2.389579168813116,15.000000000064398
0.0,17.710923577981053,-20.96505308869791,0.0,2.4589219852753312,590.512763225617,73,23.641237901394156,-0.054525835463837255,2.963622768605291,Mode 2 (LPF Speed),-2.5134478207391684,15.02000000006453
0.0,17.713087381378593,-23.804599957198402,0.0,2.3064435472342977,680.038018554915,73,23.667148399642596,-0.08364872615377533,2.6312094597082534,Mode 2 (LPF Speed),-2.390092273388073,15.04000000006466
0.0,17.717196260408638,-26.391250947187242,0.0,2.016412447261123,784.2776142602953,73,23.69283849147704,-0.10818499760208018,2.856611349042963,Mode 2 (LPF Speed),-2.1245974448632032,15.060000000064791
0.0,17.721702533501514,-28.702184373541066,0.0,1.7799774000495354,726.7029288563813,72,23.71830730226191,-0.1393201335319462,2.7907116349662173,Mode 2 (LPF Speed),-1.9192975335814817,15.080000000064922
0.0,17.728785517068232,-30.793185828094526,0.0,1.5757770944916405,382.2794969530597,72,23.74355395736164,-0.15456309305958998,1.8539769421431036,Mode 2 (LPF Speed),-1.7303401875512305,15.100000000065053
0.0,17.740896808561047,-32.70743636574169,0.0,1.5493980549177626,276.1426721810848,72,23.768577582140676,-0.13354915495120542,0.8545190470254139,Mode 2 (LPF Speed),-1.682947209868968,15.120000000065184
0.0,17.749658336190862,-34.64524708344523,0.0,1.5866392993752574,131.45733966191705,74,23.79337730196343,-0.08508849826366688,2.3760119917074207,Mode 2 (LPF Speed),-1.6717277976389242,15.140000000065315
0.0,17.756537529453873,-36.56654170198297,0.0,1.6612711007288743,241.59325763041383,73,23.81795224219434,-0.04254865102276627,1.8000405156809178,Mode 2 (LPF Speed),-1.7038197517516405,15.160000000065446
3.004706844465676e-8,17.761766741599025,-38.58950075809477,1.5721952166872248e-5,1.9111537883933392,174.22260245859985,73,23.84230152819784,0.0013683684548773912,1.8563789954795298,Mode 2 (LPF Speed),-1.9097854199384618,15.180000000065577
3.5762058965284824e-5,17.766119170510034,-40.86488271944648,0.01816448640375683,1.968789987802155,265.17066001242017,73,23.866424285338354,0.04652186119772953,2.366219783628545,Mode 2 (LPF Speed),-1.9222681266044255,15.200000000065709
0.0001433366200443566,17.77021174259154,-42.98864974210376,0.07586572916897157,1.889346106792315,311.35866267972983,72,23.89031963898033,0.09509286827581075,2.4313785828309906,Mode 2 (LPF Speed),-1.7942532385165042,15.22000000006584
0.00033515992389689987,17.773851754201733,-44.98605903956062,0.1822102208224269,1.8394134115205876,475.13558563259613,72,23.91398671448819,0.1473922510034324,2.7084977520630757,Mode 2 (LPF Speed),-1.6920211605171551,15.24000000006597
