t,hub_e1,hub_e2,hub_lat,bear_e1,bear_e2,bear_lat,T_cyan,T_back,T_bridle,T_topbay,fos_min,omega_gnd,P_gen_kW,broken
68.5000,-0.312726,-1.023593,1.070299,-0.413404,-1.351955,1.413748,93.4446,154.3542,26.4211,597.6883,14.5587,13.659954,5.6487,0
69.0000,-0.320533,-1.013558,1.063034,-0.426629,-1.333422,1.400009,103.3004,153.3082,0.0000,607.6743,12.4226,13.669777,5.6609,0
69.5000,-0.329316,-1.016368,1.068388,-0.437696,-1.341767,1.411353,104.0694,152.9927,48.0955,607.3571,14.1034,13.690141,5.6863,0
70.0000,-0.318178,-1.026165,1.074361,-0.421324,-1.357065,1.420964,90.1150,154.2782,96.1828,597.8137,14.1359,13.665616,5.6558,0
70.5000,-0.317299,-1.021084,1.069248,-0.419560,-1.347502,1.411309,94.6590,154.2257,8.5653,598.6181,14.9332,13.659067,5.6476,0
71.0000,-0.327210,-1.011670,1.063270,-0.436449,-1.330728,1.400473,105.6179,153.1001,0.0000,610.4168,11.9140,13.676075,5.6688,0
71.5000,-0.330928,-1.019392,1.071761,-0.438876,-1.346830,1.416532,104.2895,153.1963,80.0266,604.7741,13.8818,13.685789,5.6808,0
72.0000,-0.320915,-1.025589,1.074625,-0.424720,-1.356236,1.421184,91.4195,154.4431,84.6387,597.9356,14.0127,13.663999,5.6537,0
72.5000,-0.322327,-1.018337,1.068131,-0.426592,-1.342577,1.408720,96.5284,154.0381,0.0000,600.3420,15.1845,13.659595,5.6483,0
73.0000,-0.333731,-1.010716,1.064389,-0.445708,-1.329963,1.402660,107.3457,152.9591,0.0000,612.1600,11.8355,13.682557,5.6768,0
73.5000,-0.331575,-1.021944,1.074389,-0.439534,-1.350693,1.420409,99.3440,153.4932,99.5648,600.4715,13.6867,13.679884,5.6735,0
74.0000,-0.324078,-1.024461,1.074498,-0.428651,-1.354364,1.420578,92.4734,154.5072,60.5088,597.6921,13.9439,13.662513,5.6519,0
74.5000,-0.327812,-1.015522,1.067120,-0.434531,-1.337570,1.406382,98.9191,153.8091,0.0000,602.6729,14.0659,13.661798,5.6510,0
75.0000,-0.339634,-1.010935,1.066462,-0.453520,-1.331425,1.406547,107.7554,152.9114,0.0000,612.2001,12.4337,13.687819,5.6834,0
75.5000,-0.332480,-1.023439,1.076091,-0.440534,-1.353079,1.422987,93.1354,153.8658,99.5057,598.1301,13.7834,13.673021,5.6650,0
76.0000,-0.327604,-1.022746,1.073934,-0.433120,-1.351431,1.419140,92.9938,154.4950,41.7268,597.4659,14.2520,13.660639,5.6496,0
76.5000,-0.333700,-1.012837,1.066393,-0.443278,-1.332932,1.404708,101.5566,153.5614,0.0000,605.5296,12.9662,13.665730,5.6559,0
77.0000,-0.344330,-1.012417,1.069370,-0.458779,-1.335164,1.411786,105.9167,152.9808,25.4793,609.9092,13.9592,13.690240,5.6864,0
77.5000,-0.334028,-1.023953,1.077059,-0.442401,-1.354033,1.424473,90.1429,154.2043,97.3792,597.7051,14.0679,13.667374,5.6579,0
78.0000,-0.331520,-1.020549,1.073045,-0.438253,-1.347586,1.417058,93.7434,154.4132,17.8626,597.8302,14.7302,13.659127,5.6477,0
78.5000,-0.339855,-1.010555,1.066172,-0.452457,-1.329300,1.404192,104.0089,153.3311,0.0000,608.4582,12.2082,13.671126,5.6626,0
79.0000,-0.347124,-1.014976,1.072693,-0.460694,-1.340440,1.417398,104.3961,153.1547,59.7835,607.0258,13.9162,13.688248,5.6839,0
79.5000,-0.336133,-1.023777,1.077545,-0.445010,-1.353919,1.425177,90.4392,154.4410,94.1489,597.8752,14.1246,13.664573,5.6545,0
80.0000,-0.335862,-1.017998,1.071971,-0.444171,-1.343031,1.414574,95.1447,154.2659,5.2772,598.9887,15.0099,13.658635,5.6471,0
80.5000,-0.346146,-1.008948,1.066674,-0.461669,-1.327199,1.405203,106.1569,153.1439,0.0000,610.9185,11.8451,13.677528,5.6706,0
81.0000,-0.347939,-1.018001,1.075819,-0.461288,-1.345157,1.422052,103.1136,153.3788,90.6066,603.1209,13.7893,13.683371,5.6778,0
81.5000,-0.338693,-1.023057,1.077663,-0.448155,-1.352800,1.425101,91.8250,154.5671,77.4723,597.8680,13.9622,13.663233,5.6528,0
82.0000,-0.340676,-1.015222,1.070857,-0.451001,-1.338051,1.412014,97.1841,154.0631,0.0000,600.9007,14.9505,13.659627,5.6483,0
82.5000,-0.352162,-1.008349,1.068075,-0.470093,-1.327111,1.407910,107.5424,153.0313,0.0000,612.1891,11.9591,13.683686,5.6782,0
83.0000,-0.348339,-1.020243,1.078071,-0.461642,-1.348578,1.425404,97.1858,153.7032,100.4169,599.4252,13.6131,13.677238,5.6702,0
83.5000,-0.341641,-1.021784,1.077386,-0.451808,-1.350656,1.424220,92.6408,154.6043,55.4863,597.5537,14.0117,13.661586,5.6508,0
84.0000,-0.345913,-1.012460,1.069921,-0.458683,-1.333161,1.409861,99.6453,153.8284,0.0000,603.3455,13.6990,13.662276,5.6516,0
84.5000,-0.357420,-1.008941,1.070379,-0.476811,-1.329247,1.412178,107.3570,153.0171,5.3948,611.5937,12.7960,13.688201,5.6838,0
85.0000,-0.349181,-1.021425,1.079461,-0.462566,-1.350506,1.427527,91.8058,154.0683,98.6997,597.8739,13.8988,13.670653,5.6620,0
