t,hub_e1,hub_e2,hub_lat,bear_e1,bear_e2,bear_lat,T_cyan,T_back,T_bridle,T_topbay,fos_min,omega_gnd,P_gen_kW,broken
6.7002,0.620359,-1.381004,1.513941,0.844247,-1.573822,1.785964,489.1622,161.3725,0.0000,625.0061,6.7585,14.920121,7.3607,0
6.7502,0.650725,-1.331334,1.481855,0.780096,-1.356026,1.564403,255.0864,133.2604,0.0000,239.6047,8.7078,14.029486,6.1197,0
6.8002,0.614902,-1.311406,1.448409,0.378534,-1.211784,1.269531,231.3031,233.2578,0.0000,773.0907,5.4044,14.752439,7.1153,0
6.8502,0.528473,-1.323602,1.425204,-0.311245,-1.463206,1.495943,793.1299,306.9008,0.0000,655.0616,7.0926,14.065049,6.1663,0
6.9002,0.404566,-1.344694,1.404234,-0.213927,-1.685006,1.698532,58.8664,300.8196,0.0000,475.6879,5.9027,12.768953,4.6139,0
6.9502,0.297121,-1.425999,1.456624,0.114185,-1.601265,1.605331,88.8602,202.3779,0.0000,818.4884,5.6697,13.024891,4.8969,0
7.0002,0.240032,-1.528702,1.547432,0.604477,-1.494358,1.611986,283.5858,128.2488,0.0000,1255.9728,3.3259,13.876498,5.9216,0
7.0502,0.256261,-1.659845,1.679510,0.334773,-0.933616,0.991823,197.1638,146.9989,0.0000,562.0676,3.8057,13.027012,4.8993,0
7.1002,0.358210,-1.751144,1.787405,-0.498529,-0.956708,1.078805,432.0641,237.7000,0.0000,469.4326,3.7129,13.751801,5.7634,0
7.1502,0.481997,-1.722366,1.788537,-0.541503,-1.825632,1.904247,903.3828,300.8749,0.0000,524.2738,5.5758,12.791162,4.6380,0
7.2002,0.516838,-1.578206,1.660680,0.574558,-2.056201,2.134966,117.0943,161.1494,0.0000,663.9008,7.9146,15.359319,8.0301,0
7.2502,0.471772,-1.393900,1.471573,0.634190,-1.423737,1.558597,345.1194,26.9975,0.0000,963.3528,8.0813,13.944882,6.0096,0
7.3002,0.371475,-1.210440,1.266159,0.042098,-1.382521,1.383162,215.2342,93.6531,0.0000,333.2002,1.9742,14.489494,6.7416,0
7.3502,0.226567,-1.073380,1.097031,0.093307,-1.427714,1.430760,30.2632,265.6950,0.0000,729.9316,2.5302,13.564345,5.5309,0
