run_id,struc_name,struc_config,wind_speed,payout_duration,active_winch,damping_mode,EA_back_line,c_back_line,i_pto,field_imu,mppt_stall,payout_base_m,lifter_elev_deg,duration_s,d_tau_gen_rms,d_omega_rms,T_min,T_mean,T_std,slack_events,slack_events_late,speed_ripple_rms,brake_time,brake_engaged,omega_hub_final,omega_gnd_final,time_to_omega1,max_payout_reached,peak_tau_gen,min_tension_before_brake,T_cyan_min,twist_max,fos_buckling_min,fos_buckling_ring_id,peak_strut_load,peak_strut_ring_id,max_out_of_plane_accel,max_node_jerk,T_trpt_max,peak_trpt_segment_idx,peak_trpt_line_idx,is_disqualified,disqualification_reason
134,base_10kw,1,11.0,5.0,0,2,500000.0,250.0,12.5,1,1,15.0,95.0,10.0,1.4220126023356547e6,24.91168471009564,438.14844318485774,18869.23407182427,32817.0568180053,475,293,27.834366265026766,5.8408499999480465,1,-1.843281061319324,0.0,5.859999999947322,14.999999999969415,512808.81845513225,947.9406766083171,0.0,1.6200246591421745,0.07399956954310673,5,62822.89771337417,1,32012.73068248371,3.85055684357355e10,1.1544791225894378e6,1,7,1,slack_sky_anchor
135,base_10kw,1,11.0,5.0,0,2,500000.0,500.0,12.5,1,1,15.0,75.0,10.0,1.1835139537886365e6,12.02271746878154,151.9301865157294,15596.318859428144,30732.1053405347,401,293,19.715250389373303,8.786869999836517,1,-1.2893215798714142,0.0,8.79999999983602,14.999999999969415,485643.4965470887,151.9301865157294,427.33352684214407,1.5821721396726929,0.1636228826782954,4,34606.17239662812,1,19032.84388814871,3.850932036805435e10,1.14704290001004e6,1,3,1,ring_buckling
136,base_10kw,1,11.0,5.0,0,2,500000.0,500.0,12.5,1,1,15.0,95.0,10.0,1.4220126023356547e6,24.91168471009564,438.14844318485774,18869.23407182427,32817.0568180053,475,293,27.834366265026766,5.8408499999480465,1,-1.843281061319324,0.0,5.859999999947322,14.999999999969415,512808.81845513225,947.9406766083171,0.0,1.6200246591421745,0.07399956954310673,5,62822.89771337417,1,32012.73068248371,3.85055684357355e10,1.1544791225894378e6,1,7,1,slack_sky_anchor
137,base_10kw,1,11.0,5.0,1,0,500000.0,250.0,12.5,1,1,15.0,75.0,10.0,292904.2731000563,4.003911722442158,195.68898669617332,9899.869603529736,30382.57414240981,391,293,5.898137976601576,6.569879999920447,1,-0.4539110098493665,0.0,6.579999999920064,14.948303132654342,143106.32288230472,195.68898669617332,427.3082286750274,0.8715070951052368,0.3857529651768017,7,10841.054017071365,1,9435.573951124985,3.850932036805435e10,1.14704290001004e6,1,3,1,ring_buckling
138,base_10kw,1,11.0,5.0,1,0,500000.0,250.0,12.5,1,1,15.0,95.0,10.0,574016.3574024511,3.1187547113598537,75.4230671945024,11271.630742409334,32543.594868259042,476,293,10.341865283336967,7.366189999890301,1,-0.09858865359393221,0.0,7.379999999889778,14.830369913272344,229992.22996393114,75.4230671945024,0.0,0.969559564999372,0.2506699797842024,11,17971.879189715342,11,32012.730680835346,3.85055684357355e10,1.1544791225894378e6,1,7,1,slack_sky_anchor
139,base_10kw,1,11.0,5.0,1,0,500000.0,500.0,12.5,1,1,15.0,75.0,10.0,292904.2731000563,4.003911722442158,195.68898669617332,9899.869603529736,30382.57414240981,391,293,5.898137976601576,6.569879999920447,1,-0.4539110098493665,0.0,6.579999999920064,14.948303132654342,143106.32288230472,195.68898669617332,427.3082286750274,0.8715070951052368,0.3857529651768017,7,10841.054017071365,1,9435.573951124985,3.850932036805435e10,1.14704290001004e6,1,3,1,ring_buckling
140,base_10kw,1,11.0,5.0,1,0,500000.0,500.0,12.5,1,1,15.0,95.0,10.0,574016.3574024511,3.1187547113598537,75.4230671945024,11271.630742409334,32543.594868259042,476,293,10.341865283336967,7.366189999890301,1,-0.09858865359393221,0.0,7.379999999889778,14.830369913272344,229992.22996393114,75.4230671945024,0.0,0.969559564999372,0.2506699797842024,11,17971.879189715342,11,32012.730680835346,3.85055684357355e10,1.1544791225894378e6,1,7,1,slack_sky_anchor
141,base_10kw,1,11.0,5.0,1,2,500000.0,250.0,12.5,1,1,15.0,75.0,10.0,4.82729618026956e6,8.895271574671279,1207.1330356721764,17048.59472062153,31264.678061038292,391,293,31.85137331873914,NaN,0,9.530946650776942,66.1216688767264,NaN,14.999910601680236,147240.22354226312,1592.001909268973,427.33352684214407,3.1408344212184645,0.0943872219063557,6,65293.45101329773,1,48922.5540266515,3.850932036805435e10,1.14704290001004e6,1,3,1,tulloch_overtwist
142,base_10kw,1,11.0,5.0,1,2,500000.0,250.0,12.5,1,1,15.0,95.0,10.0,4.772520225493947e6,8.779004641205209,598.6571617192902,19780.954319351855,33362.80384223228,478,293,42.39254478840951,NaN,0,12.03035690547149,35.98911893789546,NaN,14.99972657975032,797925.8806386556,598.6571617192902,0.0,2.3065892454592642,0.07427261519719947,5,71558.13818274305,1,32012.73068248371,3.85055684357355e10,1.1544791225894378e6,1,7,1,slack_sky_anchor
143,base_10kw,1,11.0,5.0,1,2,500000.0,500.0,12.5,1,1,15.0,75.0,10.0,4.82729618026956e6,8.895271574671279,1207.1330356721764,17048.59472062153,31264.678061038292,391,293,31.85137331873914,NaN,0,9.530946650776942,66.1216688767264,NaN,14.999910601680236,147240.22354226312,1592.001909268973,427.33352684214407,3.1408344212184645,0.0943872219063557,6,65293.45101329773,1,48922.5540266515,3.850932036805435e10,1.14704290001004e6,1,3,1,tulloch_overtwist
144,base_10kw,1,11.0,5.0,1,2,500000.0,500.0,12.5,1,1,15.0,95.0,10.0,4.772520225493947e6,8.779004641205209,598.6571617192902,19780.954319351855,33362.80384223228,478,293,42.39254478840951,NaN,0,12.03035690547149,35.98911893789546,NaN,14.99972657975032,797925.8806386556,598.6571617192902,0.0,2.3065892454592642,0.07427261519719947,5,71558.13818274305,1,32012.73068248371,3.85055684357355e10,1.1544791225894378e6,1,7,1,slack_sky_anchor
145,base_10kw,1,20.0,5.0,0,0,500000.0,250.0,12.5,1,1,15.0,75.0,10.0,436833.69328037795,5.877926077458687,214.05278016357047,12426.994737634082,30236.53933716245,399,293,7.982174797860493,8.602489999843497,1,-0.20155477116725623,0.0,8.619999999842834,14.999999999969415,142148.55717684692,214.05278016357047,507.7007487111374,1.1073849712789325,0.21997279459010693,6,14826.544198584015,1,12622.063918783899,3.856705947593733e10,1.1497347314010244e6,1,3,1,ring_buckling
146,base_10kw,1,20.0,5.0,0,0,500000.0,250.0,12.5,1,1,15.0,95.0,10.0,559668.6977916622,5.611279896939198,186.82115712535935,13148.118777817503,31174.912401925245,482,293,9.836346640191971,9.542959999807893,1,0.9336989266352844,0.0,9.559999999807248,14.999999999969415,174521.55939737472,186.82115712535935,0.0,1.165348657017205,0.14766157802304825,5,32239.41457608885,1,34244.49384139181,3.856198229027522e10,1.1536516159596432e6,1,7,1,slack_sky_anchor
147,base_10kw,1,20.0,5.0,0,0,500000.0,500.0,12.5,1,1,15.0,75.0,10.0,436833.69328037795,5.877926077458687,214.05278016357047,12426.994737634082,30236.53933716245,399,293,7.982174797860493,8.602489999843497,1,-0.20155477116725623,0.0,8.619999999842834,14.999999999969415,142148.55717684692,214.05278016357047,507.7007487111374,1.1073849712789325,0.21997279459010693,6,14826.544198584015,1,12622.063918783899,3.856705947593733e10,1.1497347314010244e6,1,3,1,ring_buckling
148,base_10kw,1,20.0,5.0,0,0,500000.0,500.0,12.5,1,1,15.0,95.0,10.0,559668.6977916622,5.611279896939198,186.82115712535935,13148.118777817503,31174.912401925245,482,293,9.836346640191971,9.542959999807893,1,0.9336989266352844,0.0,9.559999999807248,14.999999999969415,174521.55939737472,186.82115712535935,0.0,1.165348657017205,0.14766157802304825,5,32239.41457608885,1,34244.49384139181,3.856198229027522e10,1.1536516159596432e6,1,7,1,slack_sky_anchor
149,base_10kw,1,20.0,5.0,0,2,500000.0,250.0,12.5,1,1,15.0,75.0,10.0,5.745805559762288e6,18.66538211184868,214.4314296865607,19095.104147344373,31568.06975116833,400,293,39.30598792935892,8.128839999861428,1,-0.51259379798877,0.0,8.139999999861006,14.999999999969415,569645.7671122804,214.4314296865607,507.1582228272753,1.7273309286992173,0.06321790941700565,4,88087.31861935172,1,30032.840175277695,3.856705947593733e10,1.1497347314010244e6,1,3,1,ring_buckling
